[I 221224 16:43:59 PD-pairwise:203] {
      "resume": false,
      "env": "KuaishouEnv-v0",
      "is_softmax": true,
      "l2_reg_dnn": 0.1,
      "num_trajectory": 200,
      "force_length": 10,
      "epsilon": 0,
      "top_rate": 0.8,
      "gamma": 0.1,
      "feature_dim": 16,
      "entity_dim": 16,
      "user_model_name": "PD-pairwise",
      "dnn": [
        64,
        64
      ],
      "batch_size": 2048,
      "epoch": 200,
      "cuda": 4,
      "leave_threshold": 0.0,
      "num_leave_compute": 1,
      "message": "PD"
    }
[I 221224 17:36:53 utils:48] Epoch: [10], Info: [{'loss': 0.0003405928699981695, 'mae': 0.9748898271656595, 'mse': 1.1933561603356064, 'click_loss': 57.191695268709665, 'CV': '0.00331', 'CV_turn': '0.01074', 'ctr': 2.5260689402711605, 'len_tra': 5.12, 'R_tra': 12.93347297418834, 'ifeat_feat': 0.798828125, 'NX_0_click_loss': 61.49402995123731, 'NX_0_CV': '0.00932', 'NX_0_CV_turn': '0.01516', 'NX_0_ctr': 2.3329477259134777, 'NX_0_len_tra': 10.225, 'NX_0_R_tra': 23.85439049746531, 'NX_0_ifeat_feat': 0.7960880195599022, 'NX_10_click_loss': 59.093026762632775, 'NX_10_CV': '0.00481', 'NX_10_CV_turn': '0.00800', 'NX_10_ctr': 2.3460550104659728, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 23.460550104659728, 'NX_10_ifeat_feat': 0.7515}]
[I 221224 17:41:34 utils:48] Epoch: [11], Info: [{'loss': 0.0003405914630194734, 'mae': 0.9893070276550378, 'mse': 1.2233750548769584, 'click_loss': 55.946573884732665, 'CV': '0.00331', 'CV_turn': '0.01226', 'ctr': 2.5383559942600855, 'len_tra': 4.485, 'R_tra': 11.384526634256483, 'ifeat_feat': 0.810479375696767, 'NX_0_click_loss': 59.99446957287726, 'NX_0_CV': '0.00902', 'NX_0_CV_turn': '0.01418', 'NX_0_ctr': 2.3706725870564065, 'NX_0_len_tra': 10.58, 'NX_0_R_tra': 25.081715971056777, 'NX_0_ifeat_feat': 0.7915879017013232, 'NX_10_click_loss': 57.77003644071416, 'NX_10_CV': '0.00451', 'NX_10_CV_turn': '0.00750', 'NX_10_ctr': 2.3942192486365177, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 23.942192486365176, 'NX_10_ifeat_feat': 0.7495}]
[I 221224 17:46:09 utils:48] Epoch: [12], Info: [{'loss': 0.0003405956797078743, 'mae': 0.9762920014120731, 'mse': 1.1959111156737268, 'click_loss': 57.02499989502459, 'CV': '0.00361', 'CV_turn': '0.01233', 'ctr': 2.4890470750748244, 'len_tra': 4.865, 'R_tra': 12.10921402023902, 'ifeat_feat': 0.7944501541623844, 'NX_0_click_loss': 61.66689362058049, 'NX_0_CV': '0.00932', 'NX_0_CV_turn': '0.01414', 'NX_0_ctr': 2.3399959350354003, 'NX_0_len_tra': 10.96, 'NX_0_R_tra': 25.646355447987986, 'NX_0_ifeat_feat': 0.7956204379562044, 'NX_10_click_loss': 58.9532732802713, 'NX_10_CV': '0.00451', 'NX_10_CV_turn': '0.00750', 'NX_10_ctr': 2.4249130717599803, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 24.2491307175998, 'NX_10_ifeat_feat': 0.7475}]
[I 221224 17:50:33 utils:48] Epoch: [13], Info: [{'loss': 0.00034059288825418805, 'mae': 0.9913163195918284, 'mse': 1.227839755414304, 'click_loss': 54.33157545271236, 'CV': '0.00331', 'CV_turn': '0.01127', 'ctr': 2.513384565386045, 'len_tra': 4.88, 'R_tra': 12.265316679083899, 'ifeat_feat': 0.7745901639344263, 'NX_0_click_loss': 59.59582890686458, 'NX_0_CV': '0.00932', 'NX_0_CV_turn': '0.01289', 'NX_0_ctr': 2.286911220069153, 'NX_0_len_tra': 12.025, 'NX_0_R_tra': 27.500107421331563, 'NX_0_ifeat_feat': 0.795010395010395, 'NX_10_click_loss': 56.161838768859575, 'NX_10_CV': '0.00451', 'NX_10_CV_turn': '0.00750', 'NX_10_ctr': 2.3692902974087913, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 23.69290297408791, 'NX_10_ifeat_feat': 0.75}]
[I 221224 17:55:01 utils:48] Epoch: [14], Info: [{'loss': 0.00034059422043933665, 'mae': 0.9712096724061996, 'mse': 1.1862753589026451, 'click_loss': 57.45996270627896, 'CV': '0.00301', 'CV_turn': '0.01030', 'ctr': 2.4631948430927837, 'len_tra': 4.855, 'R_tra': 11.958810963215464, 'ifeat_feat': 0.791967044284243, 'NX_0_click_loss': 61.856675996164206, 'NX_0_CV': '0.00902', 'NX_0_CV_turn': '0.01443', 'NX_0_ctr': 2.2998365940603853, 'NX_0_len_tra': 10.395, 'NX_0_R_tra': 23.90680139525771, 'NX_0_ifeat_feat': 0.797979797979798, 'NX_10_click_loss': 59.45490975015945, 'NX_10_CV': '0.00421', 'NX_10_CV_turn': '0.00700', 'NX_10_ctr': 2.380582550223511, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 23.805825502235113, 'NX_10_ifeat_feat': 0.748}]
[I 221224 17:59:39 utils:48] Epoch: [15], Info: [{'loss': 0.0003405928569934914, 'mae': 0.9699889545870656, 'mse': 1.1830086350283757, 'click_loss': 56.0666905093053, 'CV': '0.00361', 'CV_turn': '0.01261', 'ctr': 2.55139353319987, 'len_tra': 4.76, 'R_tra': 12.14463321803138, 'ifeat_feat': 0.8088235294117647, 'NX_0_click_loss': 60.29664467590134, 'NX_0_CV': '0.00932', 'NX_0_CV_turn': '0.01469', 'NX_0_ctr': 2.3099446594999793, 'NX_0_len_tra': 10.55, 'NX_0_R_tra': 24.369916157724784, 'NX_0_ifeat_feat': 0.7928909952606635, 'NX_10_click_loss': 57.92908307602114, 'NX_10_CV': '0.00421', 'NX_10_CV_turn': '0.00700', 'NX_10_ctr': 2.390664416810889, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 23.90664416810889, 'NX_10_ifeat_feat': 0.7485}]
[I 221224 18:04:11 utils:48] Epoch: [16], Info: [{'loss': 0.0003405884655077561, 'mae': 0.9858049686666781, 'mse': 1.216625347719898, 'click_loss': 55.8078924034479, 'CV': '0.00331', 'CV_turn': '0.01129', 'ctr': 2.5379580253271694, 'len_tra': 4.87, 'R_tra': 12.359855583343315, 'ifeat_feat': 0.8008213552361396, 'NX_0_click_loss': 60.354645383385595, 'NX_0_CV': '0.00962', 'NX_0_CV_turn': '0.01457', 'NX_0_ctr': 2.3628669606162847, 'NX_0_len_tra': 10.985, 'NX_0_R_tra': 25.956093562369887, 'NX_0_ifeat_feat': 0.7938097405553027, 'NX_10_click_loss': 57.609082992212514, 'NX_10_CV': '0.00451', 'NX_10_CV_turn': '0.00750', 'NX_10_ctr': 2.4097854267523244, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 24.097854267523243, 'NX_10_ifeat_feat': 0.7485}]
[I 221224 18:08:30 utils:48] Epoch: [17], Info: [{'loss': 0.00034058945853432366, 'mae': 0.9753090167602454, 'mse': 1.1948118313834524, 'click_loss': 56.70158328341063, 'CV': '0.00361', 'CV_turn': '0.01175', 'ctr': 2.3956158048966243, 'len_tra': 5.105, 'R_tra': 12.229618683997266, 'ifeat_feat': 0.7972575905974535, 'NX_0_click_loss': 61.55063206779353, 'NX_0_CV': '0.00992', 'NX_0_CV_turn': '0.01548', 'NX_0_ctr': 2.3120524322450158, 'NX_0_len_tra': 10.66, 'NX_0_R_tra': 24.64647892773187, 'NX_0_ifeat_feat': 0.7969043151969981, 'NX_10_click_loss': 58.72061199399034, 'NX_10_CV': '0.00451', 'NX_10_CV_turn': '0.00750', 'NX_10_ctr': 2.3535400735955494, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 23.535400735955495, 'NX_10_ifeat_feat': 0.746}]
[I 221224 18:13:13 utils:48] Epoch: [18], Info: [{'loss': 0.00034059189641202605, 'mae': 0.9895607271136999, 'mse': 1.2243840059560518, 'click_loss': 55.73120404047597, 'CV': '0.00361', 'CV_turn': '0.01163', 'ctr': 2.5065538201223667, 'len_tra': 5.16, 'R_tra': 12.933817711831411, 'ifeat_feat': 0.7936046511627907, 'NX_0_click_loss': 59.972262857143335, 'NX_0_CV': '0.00932', 'NX_0_CV_turn': '0.01454', 'NX_0_ctr': 2.387973340357841, 'NX_0_len_tra': 10.66, 'NX_0_R_tra': 25.45579580821459, 'NX_0_ifeat_feat': 0.7893996247654784, 'NX_10_click_loss': 57.63418200765993, 'NX_10_CV': '0.00451', 'NX_10_CV_turn': '0.00750', 'NX_10_ctr': 2.4061634510651224, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 24.061634510651224, 'NX_10_ifeat_feat': 0.7535}]
[I 221224 18:17:52 utils:48] Epoch: [19], Info: [{'loss': 0.00034059834778835764, 'mae': 0.989559080453871, 'mse': 1.2240161198657478, 'click_loss': 53.35347159378464, 'CV': '0.00361', 'CV_turn': '0.01247', 'ctr': 2.5449424398537537, 'len_tra': 4.81, 'R_tra': 12.241173135696556, 'ifeat_feat': 0.8212058212058212, 'NX_0_click_loss': 57.76026656758534, 'NX_0_CV': '0.00992', 'NX_0_CV_turn': '0.01508', 'NX_0_ctr': 2.368624885414061, 'NX_0_len_tra': 10.945, 'NX_0_R_tra': 25.924599370856896, 'NX_0_ifeat_feat': 0.7953403380539059, 'NX_10_click_loss': 55.062669211743106, 'NX_10_CV': '0.00451', 'NX_10_CV_turn': '0.00750', 'NX_10_ctr': 2.3754611047484926, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 23.75461104748493, 'NX_10_ifeat_feat': 0.7515}]
