[I 221224 16:43:59 DICE:205] {
      "resume": false,
      "env": "KuaishouEnv-v0",
      "is_softmax": true,
      "l2_reg_dnn": 0.1,
      "num_trajectory": 200,
      "force_length": 10,
      "epsilon": 0,
      "top_rate": 0.8,
      "feature_dim": 16,
      "entity_dim": 16,
      "user_model_name": "DICE",
      "dnn": [
        64,
        64
      ],
      "batch_size": 2048,
      "epoch": 200,
      "cuda": 5,
      "leave_threshold": 0.0,
      "num_leave_compute": 1,
      "message": "DICE"
    }
[I 221224 18:03:43 utils:48] Epoch: [10], Info: [{'loss': 0.0006118542257554616, 'mae': 0.4160143066373684, 'mse': 0.3945754747273769, 'click_loss': 32.42076245989958, 'CV': '0.00481', 'CV_turn': '0.01365', 'ctr': 2.4624793675179877, 'len_tra': 5.86, 'R_tra': 14.430129093655408, 'ifeat_feat': 0.787542662116041, 'NX_0_click_loss': 34.52854530731018, 'NX_0_CV': '0.01232', 'NX_0_CV_turn': '0.02052', 'NX_0_ctr': 2.3225073019510196, 'NX_0_len_tra': 9.99, 'NX_0_R_tra': 23.201847946490684, 'NX_0_ifeat_feat': 0.8003003003003003, 'NX_10_click_loss': 33.163765414546, 'NX_10_CV': '0.00571', 'NX_10_CV_turn': '0.00950', 'NX_10_ctr': 2.3641657937268614, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 23.641657937268615, 'NX_10_ifeat_feat': 0.755}]
[I 221224 18:10:21 utils:48] Epoch: [11], Info: [{'loss': 0.0006118551002273116, 'mae': 0.4166826171845754, 'mse': 0.39428840053493713, 'click_loss': 31.219976490091927, 'CV': '0.00451', 'CV_turn': '0.01459', 'ctr': 2.5260543192228235, 'len_tra': 5.14, 'R_tra': 12.983919200805312, 'ifeat_feat': 0.8054474708171206, 'NX_0_click_loss': 33.1480288686878, 'NX_0_CV': '0.01112', 'NX_0_CV_turn': '0.01778', 'NX_0_ctr': 2.239917708871418, 'NX_0_len_tra': 10.405, 'NX_0_R_tra': 23.30634376080711, 'NX_0_ifeat_feat': 0.7957712638154734, 'NX_10_click_loss': 31.905730833288306, 'NX_10_CV': '0.00541', 'NX_10_CV_turn': '0.00900', 'NX_10_ctr': 2.39930664372075, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 23.993066437207503, 'NX_10_ifeat_feat': 0.7575}]
[I 221224 18:17:18 utils:48] Epoch: [12], Info: [{'loss': 0.0006118560311700976, 'mae': 0.4155479756944353, 'mse': 0.394146605790897, 'click_loss': 33.55572147004349, 'CV': '0.00421', 'CV_turn': '0.01300', 'ctr': 2.4435683857676227, 'len_tra': 5.385, 'R_tra': 13.158615757358648, 'ifeat_feat': 0.7790157845868152, 'NX_0_click_loss': 35.44158065642033, 'NX_0_CV': '0.00932', 'NX_0_CV_turn': '0.01653', 'NX_0_ctr': 2.308203799934304, 'NX_0_len_tra': 9.375, 'NX_0_R_tra': 21.639410624384098, 'NX_0_ifeat_feat': 0.792, 'NX_10_click_loss': 34.42205512190485, 'NX_10_CV': '0.00511', 'NX_10_CV_turn': '0.00850', 'NX_10_ctr': 2.4068584933342545, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 24.068584933342546, 'NX_10_ifeat_feat': 0.7475}]
[I 221224 18:23:47 utils:48] Epoch: [13], Info: [{'loss': 0.0006118567175545361, 'mae': 0.41627702131048205, 'mse': 0.3942029085611795, 'click_loss': 31.503231571624355, 'CV': '0.00421', 'CV_turn': '0.01258', 'ctr': 2.4415747105461816, 'len_tra': 5.565, 'R_tra': 13.5873632641895, 'ifeat_feat': 0.7717879604672058, 'NX_0_click_loss': 33.18705719808564, 'NX_0_CV': '0.00992', 'NX_0_CV_turn': '0.01733', 'NX_0_ctr': 2.2785531287332534, 'NX_0_len_tra': 9.52, 'NX_0_R_tra': 21.691825785540573, 'NX_0_ifeat_feat': 0.7820378151260504, 'NX_10_click_loss': 32.34904899699969, 'NX_10_CV': '0.00601', 'NX_10_CV_turn': '0.01000', 'NX_10_ctr': 2.3982196427134865, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 23.982196427134863, 'NX_10_ifeat_feat': 0.7475}]
[I 221224 18:30:54 utils:48] Epoch: [14], Info: [{'loss': 0.000611862825947941, 'mae': 0.416302211778222, 'mse': 0.3940640205674266, 'click_loss': 31.430732476137674, 'CV': '0.00481', 'CV_turn': '0.01439', 'ctr': 2.415088424949474, 'len_tra': 5.56, 'R_tra': 13.427891642719075, 'ifeat_feat': 0.7652877697841727, 'NX_0_click_loss': 33.152589105071364, 'NX_0_CV': '0.00902', 'NX_0_CV_turn': '0.01596', 'NX_0_ctr': 2.364432399864333, 'NX_0_len_tra': 9.4, 'NX_0_R_tra': 22.22566455872473, 'NX_0_ifeat_feat': 0.7824468085106383, 'NX_10_click_loss': 32.19811278483607, 'NX_10_CV': '0.00571', 'NX_10_CV_turn': '0.00950', 'NX_10_ctr': 2.3582859987948153, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 23.582859987948154, 'NX_10_ifeat_feat': 0.749}]
[I 221224 18:37:53 utils:48] Epoch: [15], Info: [{'loss': 0.0006118542491106078, 'mae': 0.416888842645927, 'mse': 0.3941724992544832, 'click_loss': 31.20396325173028, 'CV': '0.00481', 'CV_turn': '0.01453', 'ctr': 2.460848376650599, 'len_tra': 5.505, 'R_tra': 13.546970313461548, 'ifeat_feat': 0.7892824704813806, 'NX_0_click_loss': 33.065168070507525, 'NX_0_CV': '0.01022', 'NX_0_CV_turn': '0.01722', 'NX_0_ctr': 2.3297385473061785, 'NX_0_len_tra': 9.87, 'NX_0_R_tra': 22.99451946191198, 'NX_0_ifeat_feat': 0.790273556231003, 'NX_10_click_loss': 31.920138999013027, 'NX_10_CV': '0.00571', 'NX_10_CV_turn': '0.00950', 'NX_10_ctr': 2.382881982831021, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 23.828819828310206, 'NX_10_ifeat_feat': 0.7605}]
[I 221224 18:45:02 utils:48] Epoch: [16], Info: [{'loss': 0.0006118559514676883, 'mae': 0.4138080745614998, 'mse': 0.39473848340347595, 'click_loss': 33.33602976434392, 'CV': '0.00421', 'CV_turn': '0.01217', 'ctr': 2.448641062283078, 'len_tra': 5.75, 'R_tra': 14.079686108127698, 'ifeat_feat': 0.7565217391304347, 'NX_0_click_loss': 35.40112590891888, 'NX_0_CV': '0.01022', 'NX_0_CV_turn': '0.01861', 'NX_0_ctr': 2.389970041825166, 'NX_0_len_tra': 9.135, 'NX_0_R_tra': 21.83237633207289, 'NX_0_ifeat_feat': 0.7887246852764094, 'NX_10_click_loss': 34.120031823552736, 'NX_10_CV': '0.00571', 'NX_10_CV_turn': '0.00950', 'NX_10_ctr': 2.357519837773969, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 23.57519837773969, 'NX_10_ifeat_feat': 0.75}]
[I 221224 18:52:00 utils:48] Epoch: [17], Info: [{'loss': 0.0006118512327958574, 'mae': 0.41324684061269057, 'mse': 0.39492335811515045, 'click_loss': 34.922511730566114, 'CV': '0.00451', 'CV_turn': '0.01399', 'ctr': 2.400096359482655, 'len_tra': 5.36, 'R_tra': 12.864516486827034, 'ifeat_feat': 0.8106343283582089, 'NX_0_click_loss': 37.15279883433816, 'NX_0_CV': '0.01022', 'NX_0_CV_turn': '0.01797', 'NX_0_ctr': 2.4022594054982416, 'NX_0_len_tra': 9.46, 'NX_0_R_tra': 22.725373976013366, 'NX_0_ifeat_feat': 0.7875264270613108, 'NX_10_click_loss': 35.88020128021199, 'NX_10_CV': '0.00511', 'NX_10_CV_turn': '0.00850', 'NX_10_ctr': 2.3388049331660485, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 23.388049331660486, 'NX_10_ifeat_feat': 0.748}]
[I 221224 18:58:52 utils:48] Epoch: [18], Info: [{'loss': 0.000611858127044743, 'mae': 0.41122608782040454, 'mse': 0.39483226242954306, 'click_loss': 32.912983787106654, 'CV': '0.00451', 'CV_turn': '0.01355', 'ctr': 2.5252374121097483, 'len_tra': 5.535, 'R_tra': 13.977189076027457, 'ifeat_feat': 0.7841011743450768, 'NX_0_click_loss': 34.78352936333221, 'NX_0_CV': '0.00992', 'NX_0_CV_turn': '0.01749', 'NX_0_ctr': 2.307276393569146, 'NX_0_len_tra': 9.435, 'NX_0_R_tra': 21.769152773324894, 'NX_0_ifeat_feat': 0.7917329093799682, 'NX_10_click_loss': 33.665979551836635, 'NX_10_CV': '0.00511', 'NX_10_CV_turn': '0.00850', 'NX_10_ctr': 2.412507435366346, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 24.125074353663457, 'NX_10_ifeat_feat': 0.7515}]
[I 221224 19:05:53 utils:48] Epoch: [19], Info: [{'loss': 0.0006118498945697646, 'mae': 0.41300935531396377, 'mse': 0.39458790192049004, 'click_loss': 33.24836627161784, 'CV': '0.00451', 'CV_turn': '0.01335', 'ctr': 2.407691516630057, 'len_tra': 5.62, 'R_tra': 13.53122632346092, 'ifeat_feat': 0.7597864768683275, 'NX_0_click_loss': 35.32940921686177, 'NX_0_CV': '0.00992', 'NX_0_CV_turn': '0.01655', 'NX_0_ctr': 2.3579192368968283, 'NX_0_len_tra': 9.97, 'NX_0_R_tra': 23.50845479186138, 'NX_0_ifeat_feat': 0.7913741223671013, 'NX_10_click_loss': 34.13940942466972, 'NX_10_CV': '0.00511', 'NX_10_CV_turn': '0.00850', 'NX_10_ctr': 2.3733268288444793, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 23.73326828844479, 'NX_10_ifeat_feat': 0.747}]
[I 221224 19:12:38 utils:48] Epoch: [20], Info: [{'loss': 0.0006118605087654482, 'mae': 0.41513910630150297, 'mse': 0.39446706535534454, 'click_loss': 31.740185264230643, 'CV': '0.00421', 'CV_turn': '0.01330', 'ctr': 2.426577824647951, 'len_tra': 5.265, 'R_tra': 12.775932246771461, 'ifeat_feat': 0.7720797720797721, 'NX_0_click_loss': 33.65399999758, 'NX_0_CV': '0.00992', 'NX_0_CV_turn': '0.01753', 'NX_0_ctr': 2.2998385107036015, 'NX_0_len_tra': 9.415, 'NX_0_R_tra': 21.652979578274408, 'NX_0_ifeat_feat': 0.7950079660116834, 'NX_10_click_loss': 32.532294518778, 'NX_10_CV': '0.00541', 'NX_10_CV_turn': '0.00900', 'NX_10_ctr': 2.398272451708016, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 23.98272451708016, 'NX_10_ifeat_feat': 0.7505}]
[I 221224 19:19:42 utils:48] Epoch: [21], Info: [{'loss': 0.0006118579798454855, 'mae': 0.4132975685705702, 'mse': 0.3944267749761284, 'click_loss': 34.044174770694525, 'CV': '0.00421', 'CV_turn': '0.01268', 'ctr': 2.444366697996269, 'len_tra': 5.52, 'R_tra': 13.492904172939404, 'ifeat_feat': 0.8106884057971014, 'NX_0_click_loss': 35.8138269398366, 'NX_0_CV': '0.00962', 'NX_0_CV_turn': '0.01939', 'NX_0_ctr': 2.3906861631734317, 'NX_0_len_tra': 8.25, 'NX_0_R_tra': 19.723160846180814, 'NX_0_ifeat_feat': 0.7890909090909091, 'NX_10_click_loss': 34.916522723620226, 'NX_10_CV': '0.00511', 'NX_10_CV_turn': '0.00850', 'NX_10_ctr': 2.3603240827968106, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 23.603240827968108, 'NX_10_ifeat_feat': 0.752}]
[I 221224 19:26:31 utils:48] Epoch: [22], Info: [{'loss': 0.0006118625920540005, 'mae': 0.41449762613226776, 'mse': 0.39446334734084315, 'click_loss': 32.31203366739075, 'CV': '0.00421', 'CV_turn': '0.01313', 'ctr': 2.5535808135562688, 'len_tra': 5.33, 'R_tra': 13.610585736254912, 'ifeat_feat': 0.7964352720450282, 'NX_0_click_loss': 34.087517483862975, 'NX_0_CV': '0.01022', 'NX_0_CV_turn': '0.01917', 'NX_0_ctr': 2.3969410638391317, 'NX_0_len_tra': 8.87, 'NX_0_R_tra': 21.260867236253098, 'NX_0_ifeat_feat': 0.7936865839909808, 'NX_10_click_loss': 32.91108575446283, 'NX_10_CV': '0.00481', 'NX_10_CV_turn': '0.00800', 'NX_10_ctr': 2.3451614351956196, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 23.451614351956195, 'NX_10_ifeat_feat': 0.7565}]
[I 221224 19:33:20 utils:48] Epoch: [23], Info: [{'loss': 0.0006118578532900845, 'mae': 0.4181555061719861, 'mse': 0.3943774179950664, 'click_loss': 31.63882290623791, 'CV': '0.00421', 'CV_turn': '0.01267', 'ctr': 2.4404318816785895, 'len_tra': 5.525, 'R_tra': 13.483386146274206, 'ifeat_feat': 0.788235294117647, 'NX_0_click_loss': 33.479789991849785, 'NX_0_CV': '0.00992', 'NX_0_CV_turn': '0.01794', 'NX_0_ctr': 2.365956644800966, 'NX_0_len_tra': 9.195, 'NX_0_R_tra': 21.75497134894488, 'NX_0_ifeat_feat': 0.7939097335508428, 'NX_10_click_loss': 32.38304923090001, 'NX_10_CV': '0.00571', 'NX_10_CV_turn': '0.00950', 'NX_10_ctr': 2.362361633625181, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 23.62361633625181, 'NX_10_ifeat_feat': 0.7515}]
[I 221224 19:40:17 utils:48] Epoch: [24], Info: [{'loss': 0.0006118579132143475, 'mae': 0.41479318565453704, 'mse': 0.3943894151163155, 'click_loss': 32.58511422148251, 'CV': '0.00451', 'CV_turn': '0.01313', 'ctr': 2.4349483913813548, 'len_tra': 5.71, 'R_tra': 13.903555314787535, 'ifeat_feat': 0.776707530647986, 'NX_0_click_loss': 34.492424239798375, 'NX_0_CV': '0.01112', 'NX_0_CV_turn': '0.02022', 'NX_0_ctr': 2.3112280134803056, 'NX_0_len_tra': 9.15, 'NX_0_R_tra': 21.147736323344798, 'NX_0_ifeat_feat': 0.7956284153005464, 'NX_10_click_loss': 33.38568340684312, 'NX_10_CV': '0.00481', 'NX_10_CV_turn': '0.00800', 'NX_10_ctr': 2.3766013517512867, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 23.766013517512864, 'NX_10_ifeat_feat': 0.7565}]
[I 221224 19:47:02 utils:48] Epoch: [25], Info: [{'loss': 0.0006118573209544777, 'mae': 0.4159399143954949, 'mse': 0.39430863056802573, 'click_loss': 32.00236596181795, 'CV': '0.00421', 'CV_turn': '0.01156', 'ctr': 2.4999469901459315, 'len_tra': 6.055, 'R_tra': 15.137179025333614, 'ifeat_feat': 0.7811725846407928, 'NX_0_click_loss': 33.71676241822787, 'NX_0_CV': '0.00992', 'NX_0_CV_turn': '0.01713', 'NX_0_ctr': 2.2943124229275242, 'NX_0_len_tra': 9.63, 'NX_0_R_tra': 22.09422863279206, 'NX_0_ifeat_feat': 0.7866043613707165, 'NX_10_click_loss': 32.66491165770727, 'NX_10_CV': '0.00541', 'NX_10_CV_turn': '0.00900', 'NX_10_ctr': 2.396147990600639, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 23.96147990600639, 'NX_10_ifeat_feat': 0.754}]
[I 221224 19:54:03 utils:48] Epoch: [26], Info: [{'loss': 0.0006118606416947588, 'mae': 0.41456800231873814, 'mse': 0.39433379838875554, 'click_loss': 33.504297431315344, 'CV': '0.00421', 'CV_turn': '0.01237', 'ctr': 2.4535719122900574, 'len_tra': 5.66, 'R_tra': 13.887217023561725, 'ifeat_feat': 0.7791519434628975, 'NX_0_click_loss': 35.90669391551441, 'NX_0_CV': '0.01052', 'NX_0_CV_turn': '0.01688', 'NX_0_ctr': 2.3252700493748155, 'NX_0_len_tra': 10.37, 'NX_0_R_tra': 24.113050412016836, 'NX_0_ifeat_feat': 0.7825458052073289, 'NX_10_click_loss': 34.33230068289652, 'NX_10_CV': '0.00511', 'NX_10_CV_turn': '0.00850', 'NX_10_ctr': 2.3647555264176323, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 23.647555264176322, 'NX_10_ifeat_feat': 0.7495}]
[I 221224 20:00:51 utils:48] Epoch: [27], Info: [{'loss': 0.0006118627222815345, 'mae': 0.41481507385325295, 'mse': 0.3943156159712188, 'click_loss': 32.37541544116513, 'CV': '0.00421', 'CV_turn': '0.01358', 'ctr': 2.4437294375476473, 'len_tra': 5.155, 'R_tra': 12.597425250558121, 'ifeat_feat': 0.7875848690591658, 'NX_0_click_loss': 34.40850827332245, 'NX_0_CV': '0.01022', 'NX_0_CV_turn': '0.01729', 'NX_0_ctr': 2.4028817723962557, 'NX_0_len_tra': 9.83, 'NX_0_R_tra': 23.620327822655195, 'NX_0_ifeat_feat': 0.7863682604272635, 'NX_10_click_loss': 33.30993940600449, 'NX_10_CV': '0.00511', 'NX_10_CV_turn': '0.00850', 'NX_10_ctr': 2.471648932066552, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 24.71648932066552, 'NX_10_ifeat_feat': 0.744}]
