[I 221225 13:34:03 DeepFM-IPS-pairwise:163] {
      "resume": false,
      "env": "KuaishouEnv-v0",
      "is_softmax": true,
      "num_trajectory": 200,
      "force_length": 10,
      "epsilon": 0,
      "top_rate": 0.8,
      "l2_reg_dnn": 0.1,
      "feature_dim": 16,
      "entity_dim": 16,
      "user_model_name": "DeepFM-IPS-pairwise",
      "dnn": [
        64,
        64
      ],
      "batch_size": 2048,
      "epoch": 200,
      "cuda": 1,
      "leave_threshold": 0.0,
      "num_leave_compute": 1,
      "message": "IPS1"
    }
[I 221225 14:08:26 utils:48] Epoch: [10], Info: [{'loss': 8.941600874070025e-07, 'mae': 0.8104436783986168, 'mse': 1.0801660353136595, 'click_loss': 8.007677687171663, 'CV': '0.14457', 'CV_turn': '0.31582', 'ctr': 1.8332942641673156, 'len_tra': 7.615, 'R_tra': 13.960535821634107, 'ifeat_feat': 0.835193696651346, 'NX_0_click_loss': 8.003973677140694, 'NX_0_CV': '0.15149', 'NX_0_CV_turn': '0.33600', 'NX_0_ctr': 1.7556924986662628, 'NX_0_len_tra': 7.5, 'NX_0_R_tra': 13.16769373999697, 'NX_0_ifeat_feat': 0.8386666666666667, 'NX_10_click_loss': 7.904298728215223, 'NX_10_CV': '0.16020', 'NX_10_CV_turn': '0.26650', 'NX_10_ctr': 1.7925703294153337, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 17.925703294153337, 'NX_10_ifeat_feat': 0.841}]
[I 221225 14:11:26 utils:48] Epoch: [11], Info: [{'loss': 9.010204637125052e-07, 'mae': 0.8144641144977608, 'mse': 1.0899932812669921, 'click_loss': 6.568545150208299, 'CV': '0.19146', 'CV_turn': '0.45794', 'ctr': 1.6092345428329142, 'len_tra': 6.955, 'R_tra': 11.192226245402919, 'ifeat_feat': 0.8554996405463695, 'NX_0_click_loss': 6.6568627651807155, 'NX_0_CV': '0.19567', 'NX_0_CV_turn': '0.50000', 'NX_0_ctr': 1.5336853843918283, 'NX_0_len_tra': 6.51, 'NX_0_R_tra': 9.984291852390802, 'NX_0_ifeat_feat': 0.8594470046082949, 'NX_10_click_loss': 6.551804562625962, 'NX_10_CV': '0.24436', 'NX_10_CV_turn': '0.40650', 'NX_10_ctr': 1.4970295901871387, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 14.970295901871387, 'NX_10_ifeat_feat': 0.842}]
[I 221225 14:14:26 utils:48] Epoch: [12], Info: [{'loss': 8.999476383252924e-07, 'mae': 0.8177638206741461, 'mse': 1.0954685983127004, 'click_loss': 6.5624943045589195, 'CV': '0.19687', 'CV_turn': '0.46520', 'ctr': 1.5509879672251066, 'len_tra': 7.04, 'R_tra': 10.91895528926475, 'ifeat_feat': 0.84375, 'NX_0_click_loss': 6.619961681852838, 'NX_0_CV': '0.18635', 'NX_0_CV_turn': '0.49960', 'NX_0_ctr': 1.5126149429022755, 'NX_0_len_tra': 6.205, 'NX_0_R_tra': 9.385775720708619, 'NX_0_ifeat_feat': 0.8428686543110395, 'NX_10_click_loss': 6.571580674722429, 'NX_10_CV': '0.23595', 'NX_10_CV_turn': '0.39250', 'NX_10_ctr': 1.5343678401258098, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 15.343678401258098, 'NX_10_ifeat_feat': 0.859}]
[I 221225 14:17:27 utils:48] Epoch: [13], Info: [{'loss': 8.966965014374866e-07, 'mae': 0.8145597222849228, 'mse': 1.0891385274425898, 'click_loss': 7.002379672564619, 'CV': '0.17854', 'CV_turn': '0.39286', 'ctr': 1.661885079107051, 'len_tra': 7.56, 'R_tra': 12.563851198049306, 'ifeat_feat': 0.8386243386243386, 'NX_0_click_loss': 7.047937662342328, 'NX_0_CV': '0.17553', 'NX_0_CV_turn': '0.43647', 'NX_0_ctr': 1.6060523055746818, 'NX_0_len_tra': 6.69, 'NX_0_R_tra': 10.744489924294621, 'NX_0_ifeat_feat': 0.866965620328849, 'NX_10_click_loss': 7.109516639695134, 'NX_10_CV': '0.21852', 'NX_10_CV_turn': '0.36350', 'NX_10_ctr': 1.6060181858396092, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 16.060181858396092, 'NX_10_ifeat_feat': 0.842}]
[I 221225 14:20:29 utils:48] Epoch: [14], Info: [{'loss': 8.956763978921474e-07, 'mae': 0.8247735277643692, 'mse': 1.1065072905026858, 'click_loss': 6.9752659012541045, 'CV': '0.18665', 'CV_turn': '0.44074', 'ctr': 1.5974302997493242, 'len_tra': 7.045, 'R_tra': 11.253896461733989, 'ifeat_feat': 0.8459900638750887, 'NX_0_click_loss': 6.995106752008115, 'NX_0_CV': '0.18605', 'NX_0_CV_turn': '0.42808', 'NX_0_ctr': 1.5906064109884066, 'NX_0_len_tra': 7.23, 'NX_0_R_tra': 11.50008435144618, 'NX_0_ifeat_feat': 0.8568464730290456, 'NX_10_click_loss': 6.887579987587995, 'NX_10_CV': '0.21581', 'NX_10_CV_turn': '0.35900', 'NX_10_ctr': 1.5572746788883656, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 15.572746788883656, 'NX_10_ifeat_feat': 0.857}]
[I 221225 14:23:35 utils:48] Epoch: [15], Info: [{'loss': 8.982634691233915e-07, 'mae': 0.8168394576832889, 'mse': 1.0936202680819032, 'click_loss': 6.721305584820692, 'CV': '0.18846', 'CV_turn': '0.46826', 'ctr': 1.5530395001439792, 'len_tra': 6.695, 'R_tra': 10.39759945346394, 'ifeat_feat': 0.8618371919342793, 'NX_0_click_loss': 6.728227883266555, 'NX_0_CV': '0.19116', 'NX_0_CV_turn': '0.44947', 'NX_0_ctr': 1.5409503321817015, 'NX_0_len_tra': 7.075, 'NX_0_R_tra': 10.90222360018554, 'NX_0_ifeat_feat': 0.8508833922261484, 'NX_10_click_loss': 6.71757645820974, 'NX_10_CV': '0.23715', 'NX_10_CV_turn': '0.39450', 'NX_10_ctr': 1.5216522701918924, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 15.216522701918926, 'NX_10_ifeat_feat': 0.861}]
[I 221225 14:26:35 utils:48] Epoch: [16], Info: [{'loss': 8.953682012958428e-07, 'mae': 0.821538653578729, 'mse': 1.1012629429814698, 'click_loss': 6.853104850803619, 'CV': '0.18696', 'CV_turn': '0.44302', 'ctr': 1.54995974104555, 'len_tra': 7.02, 'R_tra': 10.88071738213976, 'ifeat_feat': 0.8646723646723646, 'NX_0_click_loss': 6.822006877298356, 'NX_0_CV': '0.17674', 'NX_0_CV_turn': '0.46741', 'NX_0_ctr': 1.5344903796423708, 'NX_0_len_tra': 6.29, 'NX_0_R_tra': 9.651944487950512, 'NX_0_ifeat_feat': 0.8624801271860095, 'NX_10_click_loss': 6.8812947894660095, 'NX_10_CV': '0.22783', 'NX_10_CV_turn': '0.37900', 'NX_10_ctr': 1.5707814082232625, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 15.707814082232625, 'NX_10_ifeat_feat': 0.8475}]
[I 221225 14:29:37 utils:48] Epoch: [17], Info: [{'loss': 8.974707026777571e-07, 'mae': 0.8184643086677815, 'mse': 1.0948994730140476, 'click_loss': 7.364381926775981, 'CV': '0.15780', 'CV_turn': '0.37634', 'ctr': 1.6766034089264361, 'len_tra': 6.975, 'R_tra': 11.694308777261892, 'ifeat_feat': 0.8458781362007168, 'NX_0_click_loss': 7.412646214959374, 'NX_0_CV': '0.16261', 'NX_0_CV_turn': '0.38396', 'NX_0_ctr': 1.6417568279910824, 'NX_0_len_tra': 7.045, 'NX_0_R_tra': 11.566176853197176, 'NX_0_ifeat_feat': 0.8495386799148332, 'NX_10_click_loss': 7.4015125066350755, 'NX_10_CV': '0.19477', 'NX_10_CV_turn': '0.32400', 'NX_10_ctr': 1.6974856148074897, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 16.9748561480749, 'NX_10_ifeat_feat': 0.8545}]
[I 221225 14:32:37 utils:48] Epoch: [18], Info: [{'loss': 9.005193021979498e-07, 'mae': 0.8159686755717599, 'mse': 1.0912635003730686, 'click_loss': 7.10824074393577, 'CV': '0.17553', 'CV_turn': '0.42045', 'ctr': 1.5975193280322566, 'len_tra': 6.945, 'R_tra': 11.094771733184023, 'ifeat_feat': 0.8552915766738661, 'NX_0_click_loss': 7.12325869392896, 'NX_0_CV': '0.18635', 'NX_0_CV_turn': '0.39591', 'NX_0_ctr': 1.5402452697620246, 'NX_0_len_tra': 7.83, 'NX_0_R_tra': 12.060120462236652, 'NX_0_ifeat_feat': 0.8339719029374202, 'NX_10_click_loss': 7.114609292232726, 'NX_10_CV': '0.20739', 'NX_10_CV_turn': '0.34500', 'NX_10_ctr': 1.6313916023609343, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 16.31391602360934, 'NX_10_ifeat_feat': 0.844}]
[I 221225 14:35:38 utils:48] Epoch: [19], Info: [{'loss': 9.018890082623415e-07, 'mae': 0.8218710472715798, 'mse': 1.1021267793519451, 'click_loss': 6.7200823078026595, 'CV': '0.19297', 'CV_turn': '0.43001', 'ctr': 1.5572400918986153, 'len_tra': 7.465, 'R_tra': 11.624797286023163, 'ifeat_feat': 0.8653717347622237, 'NX_0_click_loss': 6.79766177531549, 'NX_0_CV': '0.20108', 'NX_0_CV_turn': '0.45948', 'NX_0_ctr': 1.5612487724825836, 'NX_0_len_tra': 7.28, 'NX_0_R_tra': 11.36589106367321, 'NX_0_ifeat_feat': 0.8475274725274725, 'NX_10_click_loss': 6.696974337565391, 'NX_10_CV': '0.23114', 'NX_10_CV_turn': '0.38450', 'NX_10_ctr': 1.567632032739617, 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 15.67632032739617, 'NX_10_ifeat_feat': 0.8585}]
