[I 221224 14:18:30 CIRS-RL-kuaishou:142] {
      "env": "KuaishouEnv-v0",
      "user_model_name": "DeepFM",
      "model_name": "CIRS",
      "seed": 2023,
      "cuda": 1,
      "is_ab": true,
      "cpu": false,
      "is_save": false,
      "version": "v1",
      "tau": 10.0,
      "gamma_exposure": 10.0,
      "r_decay": 1,
      "leave_threshold": 0,
      "num_leave_compute": 2,
      "max_turn": 30,
      "dim_state": 20,
      "dim_model": 32,
      "nhead": 4,
      "force_length": 10,
      "top_rate": 0.6,
      "buffer_size": 11000,
      "lr": 0.001,
      "gamma": 0.95,
      "epoch": 1000,
      "step_per_epoch": 15000,
      "repeat_per_collect": 2,
      "batch_size": 1024,
      "hidden_sizes": [
        64,
        64
      ],
      "episode_per_collect": 100,
      "training_num": 100,
      "test_num": 100,
      "render": 0,
      "vf_coef": 0.25,
      "ent_coef": 0.0,
      "eps_clip": 0.2,
      "max_grad_norm": 0.5,
      "gae_lambda": 0.95,
      "rew_norm": 1,
      "dual_clip": null,
      "value_clip": 1,
      "norm_adv": 1,
      "recompute_adv": 0,
      "resume": false,
      "save_interval": 1000,
      "read_message": "Pair11",
      "message": "CIRS-leave2"
    }
[I 221224 14:20:26 utils:134] Epoch: [1], Info: [{'num_test': 100, 'CV': '0.16952', 'CV_turn': '0.90530', 'ctr': '0.78863', 'len_tra': 6.23, 'R_tra': 4.91315921265835, 'ifeat_feat': 0.5762439807383628, 'NX_0_CV': '0.16531', 'NX_0_CV_turn': '0.90759', 'NX_0_ctr': '0.93952', 'NX_0_len_tra': 6.06, 'NX_0_R_tra': 5.693513894443059, 'NX_0_ifeat_feat': 0.5858085808580858, 'NX_10_CV': '0.25639', 'NX_10_CV_turn': '0.85300', 'NX_10_ctr': '0.89877', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.987673814758478, 'NX_10_ifeat_feat': 0.619}]
[I 221224 14:21:11 utils:134] Epoch: [2], Info: [{'num_test': 100, 'CV': '0.17794', 'CV_turn': '0.69159', 'ctr': '0.85998', 'len_tra': 8.56, 'R_tra': 7.361411387346063, 'ifeat_feat': 0.3633177570093458, 'NX_0_CV': '0.18485', 'NX_0_CV_turn': '0.71846', 'NX_0_ctr': '0.87827', 'NX_0_len_tra': 8.56, 'NX_0_R_tra': 7.517994543326531, 'NX_0_ifeat_feat': 0.3598130841121495, 'NX_10_CV': '0.20258', 'NX_10_CV_turn': '0.67400', 'NX_10_ctr': '0.84617', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.461683271801297, 'NX_10_ifeat_feat': 0.351}]
[I 221224 14:21:47 utils:134] Epoch: [3], Info: [{'num_test': 100, 'CV': '0.11271', 'CV_turn': '0.35278', 'ctr': '0.85697', 'len_tra': 10.63, 'R_tra': 9.109554708466867, 'ifeat_feat': 0.17685794920037629, 'NX_0_CV': '0.13856', 'NX_0_CV_turn': '0.34977', 'NX_0_ctr': '0.81633', 'NX_0_len_tra': 13.18, 'NX_0_R_tra': 10.759233101793274, 'NX_0_ifeat_feat': 0.19347496206373294, 'NX_10_CV': '0.10580', 'NX_10_CV_turn': '0.35200', 'NX_10_ctr': '0.86148', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.614798045922532, 'NX_10_ifeat_feat': 0.165}]
[I 221224 14:22:20 utils:134] Epoch: [4], Info: [{'num_test': 100, 'CV': '0.11812', 'CV_turn': '0.29460', 'ctr': '0.73475', 'len_tra': 13.34, 'R_tra': 9.801626331353914, 'ifeat_feat': 0.17841079460269865, 'NX_0_CV': '0.13586', 'NX_0_CV_turn': '0.31367', 'NX_0_ctr': '0.75425', 'NX_0_len_tra': 14.41, 'NX_0_R_tra': 10.868684142023334, 'NX_0_ifeat_feat': 0.19569743233865372, 'NX_10_CV': '0.09558', 'NX_10_CV_turn': '0.31800', 'NX_10_ctr': '0.79083', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 7.908278069676455, 'NX_10_ifeat_feat': 0.191}]
[I 221224 14:22:55 utils:134] Epoch: [5], Info: [{'num_test': 100, 'CV': '0.08656', 'CV_turn': '0.26325', 'ctr': '0.79931', 'len_tra': 10.94, 'R_tra': 8.744465431133145, 'ifeat_feat': 0.17915904936014626, 'NX_0_CV': '0.10821', 'NX_0_CV_turn': '0.25442', 'NX_0_ctr': '0.78674', 'NX_0_len_tra': 14.15, 'NX_0_R_tra': 11.132394323406663, 'NX_0_ifeat_feat': 0.20918727915194346, 'NX_10_CV': '0.07665', 'NX_10_CV_turn': '0.25500', 'NX_10_ctr': '0.79145', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 7.9144950097083635, 'NX_10_ifeat_feat': 0.172}]
[I 221224 14:23:28 utils:134] Epoch: [6], Info: [{'num_test': 100, 'CV': '0.10580', 'CV_turn': '0.30293', 'ctr': '0.83403', 'len_tra': 11.62, 'R_tra': 9.691468694125929, 'ifeat_feat': 0.19707401032702238, 'NX_0_CV': '0.14247', 'NX_0_CV_turn': '0.30980', 'NX_0_ctr': '0.84346', 'NX_0_len_tra': 15.3, 'NX_0_R_tra': 12.905002397799276, 'NX_0_ifeat_feat': 0.22156862745098038, 'NX_10_CV': '0.09077', 'NX_10_CV_turn': '0.30200', 'NX_10_ctr': '0.80424', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.042444353863896, 'NX_10_ifeat_feat': 0.18}]
[I 221224 14:23:59 utils:134] Epoch: [7], Info: [{'num_test': 100, 'CV': '0.09197', 'CV_turn': '0.22517', 'ctr': '0.77753', 'len_tra': 13.59, 'R_tra': 10.566645667738076, 'ifeat_feat': 0.1751287711552612, 'NX_0_CV': '0.10159', 'NX_0_CV_turn': '0.22869', 'NX_0_ctr': '0.84794', 'NX_0_len_tra': 14.78, 'NX_0_R_tra': 12.532617660156163, 'NX_0_ifeat_feat': 0.2009472259810555, 'NX_10_CV': '0.06432', 'NX_10_CV_turn': '0.21400', 'NX_10_ctr': '0.76133', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 7.6133287321974175, 'NX_10_ifeat_feat': 0.165}]
[I 221224 14:24:33 utils:134] Epoch: [8], Info: [{'num_test': 100, 'CV': '0.08476', 'CV_turn': '0.20812', 'ctr': '0.77994', 'len_tra': 13.55, 'R_tra': 10.568131643020829, 'ifeat_feat': 0.16752767527675277, 'NX_0_CV': '0.09678', 'NX_0_CV_turn': '0.20000', 'NX_0_ctr': '0.80452', 'NX_0_len_tra': 16.1, 'NX_0_R_tra': 12.952802530810542, 'NX_0_ifeat_feat': 0.17763975155279504, 'NX_10_CV': '0.06102', 'NX_10_CV_turn': '0.20300', 'NX_10_ctr': '0.79801', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 7.980069710422821, 'NX_10_ifeat_feat': 0.153}]
[I 221224 14:25:06 utils:134] Epoch: [9], Info: [{'num_test': 100, 'CV': '0.07093', 'CV_turn': '0.16773', 'ctr': '0.78392', 'len_tra': 14.07, 'R_tra': 11.029699144526536, 'ifeat_feat': 0.16844349680170576, 'NX_0_CV': '0.09378', 'NX_0_CV_turn': '0.17548', 'NX_0_ctr': '0.75521', 'NX_0_len_tra': 17.78, 'NX_0_R_tra': 13.427682180436308, 'NX_0_ifeat_feat': 0.19572553430821146, 'NX_10_CV': '0.05290', 'NX_10_CV_turn': '0.17600', 'NX_10_ctr': '0.84340', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.43399534926994, 'NX_10_ifeat_feat': 0.187}]
[I 221224 14:25:39 utils:134] Epoch: [10], Info: [{'num_test': 100, 'CV': '0.07274', 'CV_turn': '0.18995', 'ctr': '0.80102', 'len_tra': 12.74, 'R_tra': 10.204966962583478, 'ifeat_feat': 0.18602825745682888, 'NX_0_CV': '0.09769', 'NX_0_CV_turn': '0.20049', 'NX_0_ctr': '0.79983', 'NX_0_len_tra': 16.21, 'NX_0_R_tra': 12.965166280369449, 'NX_0_ifeat_feat': 0.22208513263417642, 'NX_10_CV': '0.06432', 'NX_10_CV_turn': '0.21400', 'NX_10_ctr': '0.79125', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 7.912512400742446, 'NX_10_ifeat_feat': 0.175}]
[I 221224 14:26:14 utils:134] Epoch: [11], Info: [{'num_test': 100, 'CV': '0.12804', 'CV_turn': '0.31982', 'ctr': '0.82993', 'len_tra': 13.32, 'R_tra': 11.054609396080682, 'ifeat_feat': 0.24924924924924924, 'NX_0_CV': '0.14277', 'NX_0_CV_turn': '0.32557', 'NX_0_ctr': '0.79797', 'NX_0_len_tra': 14.59, 'NX_0_R_tra': 11.642453231555903, 'NX_0_ifeat_feat': 0.22960932145305005, 'NX_10_CV': '0.09558', 'NX_10_CV_turn': '0.31800', 'NX_10_ctr': '0.81565', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.156461914035209, 'NX_10_ifeat_feat': 0.221}]
