[I 221224 15:19:28 CIRS-RL-kuaishou:142] {
      "env": "KuaishouEnv-v0",
      "user_model_name": "DeepFM",
      "model_name": "CIRS",
      "seed": 2023,
      "cuda": 4,
      "is_ab": true,
      "cpu": false,
      "is_save": false,
      "version": "v1",
      "tau": 10.0,
      "gamma_exposure": 10.0,
      "r_decay": 1,
      "leave_threshold": 0,
      "num_leave_compute": 5,
      "max_turn": 30,
      "dim_state": 20,
      "dim_model": 32,
      "nhead": 4,
      "force_length": 10,
      "top_rate": 0.6,
      "buffer_size": 11000,
      "lr": 0.001,
      "gamma": 0.95,
      "epoch": 1000,
      "step_per_epoch": 15000,
      "repeat_per_collect": 2,
      "batch_size": 1024,
      "hidden_sizes": [
        64,
        64
      ],
      "episode_per_collect": 100,
      "training_num": 100,
      "test_num": 100,
      "render": 0,
      "vf_coef": 0.25,
      "ent_coef": 0.0,
      "eps_clip": 0.2,
      "max_grad_norm": 0.5,
      "gae_lambda": 0.95,
      "rew_norm": 1,
      "dual_clip": null,
      "value_clip": 1,
      "norm_adv": 1,
      "recompute_adv": 0,
      "resume": false,
      "save_interval": 1000,
      "read_message": "Pair11",
      "message": "CIRS-leave5"
    }
[I 221224 15:27:54 utils:134] Epoch: [12], Info: [{'num_test': 100, 'CV': '0.07364', 'CV_turn': '0.25494', 'ctr': '0.91164', 'len_tra': 9.61, 'R_tra': 8.760904630535613, 'ifeat_feat': 0.20291363163371487, 'NX_0_CV': '0.07935', 'NX_0_CV_turn': '0.23614', 'NX_0_ctr': '0.90367', 'NX_0_len_tra': 11.18, 'NX_0_R_tra': 10.103000235328121, 'NX_0_ifeat_feat': 0.21198568872987478, 'NX_10_CV': '0.07845', 'NX_10_CV_turn': '0.26100', 'NX_10_ctr': '0.91916', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 9.191570629609751, 'NX_10_ifeat_feat': 0.222}]
[I 221224 15:28:27 utils:134] Epoch: [13], Info: [{'num_test': 100, 'CV': '0.05320', 'CV_turn': '0.23984', 'ctr': '0.85298', 'len_tra': 7.38, 'R_tra': 6.294986547447344, 'ifeat_feat': 0.15447154471544716, 'NX_0_CV': '0.08206', 'NX_0_CV_turn': '0.22712', 'NX_0_ctr': '0.87020', 'NX_0_len_tra': 12.02, 'NX_0_R_tra': 10.459817587326222, 'NX_0_ifeat_feat': 0.1913477537437604, 'NX_10_CV': '0.07424', 'NX_10_CV_turn': '0.24700', 'NX_10_ctr': '0.87520', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.752038715350206, 'NX_10_ifeat_feat': 0.179}]
[I 221224 15:29:02 utils:134] Epoch: [14], Info: [{'num_test': 100, 'CV': '0.05801', 'CV_turn': '0.21397', 'ctr': '0.85767', 'len_tra': 9.02, 'R_tra': 7.736176923541852, 'ifeat_feat': 0.1984478935698448, 'NX_0_CV': '0.07304', 'NX_0_CV_turn': '0.20166', 'NX_0_ctr': '0.93997', 'NX_0_len_tra': 12.05, 'NX_0_R_tra': 11.326594801990769, 'NX_0_ifeat_feat': 0.22489626556016598, 'NX_10_CV': '0.07124', 'NX_10_CV_turn': '0.23700', 'NX_10_ctr': '0.87293', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.729344672049184, 'NX_10_ifeat_feat': 0.216}]
[I 221224 15:29:37 utils:134] Epoch: [15], Info: [{'num_test': 100, 'CV': '0.04028', 'CV_turn': '0.14061', 'ctr': '0.90783', 'len_tra': 9.53, 'R_tra': 8.651621743115093, 'ifeat_feat': 0.20566631689401887, 'NX_0_CV': '0.05861', 'NX_0_CV_turn': '0.14585', 'NX_0_ctr': '0.92025', 'NX_0_len_tra': 13.37, 'NX_0_R_tra': 12.30377908928303, 'NX_0_ifeat_feat': 0.19222139117427076, 'NX_10_CV': '0.04959', 'NX_10_CV_turn': '0.16500', 'NX_10_ctr': '0.90362', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 9.036203042132064, 'NX_10_ifeat_feat': 0.189}]
[I 221224 15:30:11 utils:134] Epoch: [16], Info: [{'num_test': 100, 'CV': '0.05500', 'CV_turn': '0.20447', 'ctr': '0.85361', 'len_tra': 8.95, 'R_tra': 7.639821757881963, 'ifeat_feat': 0.20558659217877095, 'NX_0_CV': '0.07604', 'NX_0_CV_turn': '0.21013', 'NX_0_ctr': '0.87682', 'NX_0_len_tra': 12.04, 'NX_0_R_tra': 10.55694187014524, 'NX_0_ifeat_feat': 0.22259136212624583, 'NX_10_CV': '0.06643', 'NX_10_CV_turn': '0.22100', 'NX_10_ctr': '0.90884', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 9.08841665857676, 'NX_10_ifeat_feat': 0.214}]
[I 221224 15:30:46 utils:134] Epoch: [17], Info: [{'num_test': 100, 'CV': '0.04659', 'CV_turn': '0.16282', 'ctr': '0.95800', 'len_tra': 9.52, 'R_tra': 9.120126380394845, 'ifeat_feat': 0.17542016806722688, 'NX_0_CV': '0.05981', 'NX_0_CV_turn': '0.15214', 'NX_0_ctr': '0.91275', 'NX_0_len_tra': 13.08, 'NX_0_R_tra': 11.938800686665113, 'NX_0_ifeat_feat': 0.18807339449541285, 'NX_10_CV': '0.05440', 'NX_10_CV_turn': '0.18100', 'NX_10_ctr': '0.89721', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.972117269529921, 'NX_10_ifeat_feat': 0.158}]
[I 221224 15:31:19 utils:134] Epoch: [18], Info: [{'num_test': 100, 'CV': '0.04298', 'CV_turn': '0.15801', 'ctr': '0.91459', 'len_tra': 9.05, 'R_tra': 8.276995484190902, 'ifeat_feat': 0.19447513812154696, 'NX_0_CV': '0.06011', 'NX_0_CV_turn': '0.14993', 'NX_0_ctr': '0.89039', 'NX_0_len_tra': 13.34, 'NX_0_R_tra': 11.877783105687579, 'NX_0_ifeat_feat': 0.22188905547226387, 'NX_10_CV': '0.04569', 'NX_10_CV_turn': '0.15200', 'NX_10_ctr': '0.85857', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.585686305620388, 'NX_10_ifeat_feat': 0.192}]
[I 221224 15:31:54 utils:134] Epoch: [19], Info: [{'num_test': 100, 'CV': '0.04719', 'CV_turn': '0.18624', 'ctr': '0.87344', 'len_tra': 8.43, 'R_tra': 7.3630925879609155, 'ifeat_feat': 0.17200474495848161, 'NX_0_CV': '0.06462', 'NX_0_CV_turn': '0.15227', 'NX_0_ctr': '0.93183', 'NX_0_len_tra': 14.12, 'NX_0_R_tra': 13.157457773228284, 'NX_0_ifeat_feat': 0.20679886685552407, 'NX_10_CV': '0.05140', 'NX_10_CV_turn': '0.17100', 'NX_10_ctr': '0.95943', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 9.594330957545532, 'NX_10_ifeat_feat': 0.182}]
[I 221224 15:32:29 utils:134] Epoch: [20], Info: [{'num_test': 100, 'CV': '0.07935', 'CV_turn': '0.31731', 'ctr': '0.83578', 'len_tra': 8.32, 'R_tra': 6.95369033305795, 'ifeat_feat': 0.2548076923076923, 'NX_0_CV': '0.09197', 'NX_0_CV_turn': '0.28333', 'NX_0_ctr': '0.93127', 'NX_0_len_tra': 10.8, 'NX_0_R_tra': 10.057761408113983, 'NX_0_ifeat_feat': 0.24722222222222223, 'NX_10_CV': '0.09829', 'NX_10_CV_turn': '0.32700', 'NX_10_ctr': '0.91503', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 9.150289187878204, 'NX_10_ifeat_feat': 0.255}]
[I 221224 15:33:03 utils:134] Epoch: [21], Info: [{'num_test': 100, 'CV': '0.05410', 'CV_turn': '0.21127', 'ctr': '0.90085', 'len_tra': 8.52, 'R_tra': 7.675258876458912, 'ifeat_feat': 0.17018779342723006, 'NX_0_CV': '0.07244', 'NX_0_CV_turn': '0.18872', 'NX_0_ctr': '0.89090', 'NX_0_len_tra': 12.77, 'NX_0_R_tra': 11.376841133539608, 'NX_0_ifeat_feat': 0.2028191072826938, 'NX_10_CV': '0.06072', 'NX_10_CV_turn': '0.20200', 'NX_10_ctr': '0.90641', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 9.064129522409441, 'NX_10_ifeat_feat': 0.173}]
