[I 221224 14:18:30 CIRS-RL-kuaishou:142] {
      "env": "KuaishouEnv-v0",
      "user_model_name": "DeepFM",
      "model_name": "CIRS",
      "seed": 2023,
      "cuda": 2,
      "is_ab": true,
      "cpu": false,
      "is_save": false,
      "version": "v1",
      "tau": 10.0,
      "gamma_exposure": 10.0,
      "r_decay": 1,
      "leave_threshold": 0,
      "num_leave_compute": 3,
      "max_turn": 30,
      "dim_state": 20,
      "dim_model": 32,
      "nhead": 4,
      "force_length": 10,
      "top_rate": 0.6,
      "buffer_size": 11000,
      "lr": 0.001,
      "gamma": 0.95,
      "epoch": 1000,
      "step_per_epoch": 15000,
      "repeat_per_collect": 2,
      "batch_size": 1024,
      "hidden_sizes": [
        64,
        64
      ],
      "episode_per_collect": 100,
      "training_num": 100,
      "test_num": 100,
      "render": 0,
      "vf_coef": 0.25,
      "ent_coef": 0.0,
      "eps_clip": 0.2,
      "max_grad_norm": 0.5,
      "gae_lambda": 0.95,
      "rew_norm": 1,
      "dual_clip": null,
      "value_clip": 1,
      "norm_adv": 1,
      "recompute_adv": 0,
      "resume": false,
      "save_interval": 1000,
      "read_message": "Pair11",
      "message": "CIRS-leave3"
    }
[I 221224 14:20:11 utils:134] Epoch: [1], Info: [{'num_test': 100, 'CV': '0.14097', 'CV_turn': '0.91961', 'ctr': '0.84140', 'len_tra': 5.1, 'R_tra': 4.29116388545313, 'ifeat_feat': 0.5686274509803921, 'NX_0_CV': '0.13586', 'NX_0_CV_turn': '0.94958', 'NX_0_ctr': '0.92002', 'NX_0_len_tra': 4.76, 'NX_0_R_tra': 4.379309978292088, 'NX_0_ifeat_feat': 0.634453781512605, 'NX_10_CV': '0.25669', 'NX_10_CV_turn': '0.85400', 'NX_10_ctr': '0.85030', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.503034544888896, 'NX_10_ifeat_feat': 0.601}]
[I 221224 14:20:43 utils:134] Epoch: [2], Info: [{'num_test': 100, 'CV': '0.13285', 'CV_turn': '0.59649', 'ctr': '0.81217', 'len_tra': 7.41, 'R_tra': 6.0182090736147495, 'ifeat_feat': 0.28879892037786775, 'NX_0_CV': '0.13856', 'NX_0_CV_turn': '0.61714', 'NX_0_ctr': '0.83763', 'NX_0_len_tra': 7.47, 'NX_0_R_tra': 6.2570698534906795, 'NX_0_ifeat_feat': 0.30254350736278446, 'NX_10_CV': '0.16111', 'NX_10_CV_turn': '0.53600', 'NX_10_ctr': '0.81917', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.191651724851674, 'NX_10_ifeat_feat': 0.253}]
[I 221224 14:21:14 utils:134] Epoch: [3], Info: [{'num_test': 100, 'CV': '0.11271', 'CV_turn': '0.37879', 'ctr': '0.75253', 'len_tra': 9.9, 'R_tra': 7.450049930812487, 'ifeat_feat': 0.16666666666666666, 'NX_0_CV': '0.13165', 'NX_0_CV_turn': '0.37597', 'NX_0_ctr': '0.77381', 'NX_0_len_tra': 11.65, 'NX_0_R_tra': 9.01491876883251, 'NX_0_ifeat_feat': 0.1965665236051502, 'NX_10_CV': '0.10821', 'NX_10_CV_turn': '0.36000', 'NX_10_ctr': '0.75031', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 7.503096835386153, 'NX_10_ifeat_feat': 0.172}]
[I 221224 14:21:47 utils:134] Epoch: [4], Info: [{'num_test': 100, 'CV': '0.10310', 'CV_turn': '0.35397', 'ctr': '0.71422', 'len_tra': 9.69, 'R_tra': 6.920805222674045, 'ifeat_feat': 0.20330237358101136, 'NX_0_CV': '0.12894', 'NX_0_CV_turn': '0.34513', 'NX_0_ctr': '0.75557', 'NX_0_len_tra': 12.43, 'NX_0_R_tra': 9.391686921572003, 'NX_0_ifeat_feat': 0.2172164119066774, 'NX_10_CV': '0.10249', 'NX_10_CV_turn': '0.34100', 'NX_10_ctr': '0.73441', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 7.344129788579878, 'NX_10_ifeat_feat': 0.23}]
[I 221224 14:22:21 utils:134] Epoch: [5], Info: [{'num_test': 100, 'CV': '0.09258', 'CV_turn': '0.28519', 'ctr': '0.74047', 'len_tra': 10.8, 'R_tra': 7.997110475332019, 'ifeat_feat': 0.17407407407407408, 'NX_0_CV': '0.12804', 'NX_0_CV_turn': '0.33049', 'NX_0_ctr': '0.78684', 'NX_0_len_tra': 12.89, 'NX_0_R_tra': 10.142357374850025, 'NX_0_ifeat_feat': 0.19550038789759502, 'NX_10_CV': '0.09017', 'NX_10_CV_turn': '0.30000', 'NX_10_ctr': '0.74160', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 7.4159941317495806, 'NX_10_ifeat_feat': 0.181}]
[I 221224 14:22:55 utils:134] Epoch: [6], Info: [{'num_test': 100, 'CV': '0.09528', 'CV_turn': '0.28354', 'ctr': '0.80075', 'len_tra': 11.18, 'R_tra': 8.952382566260564, 'ifeat_feat': 0.19141323792486584, 'NX_0_CV': '0.11933', 'NX_0_CV_turn': '0.29063', 'NX_0_ctr': '0.77873', 'NX_0_len_tra': 13.66, 'NX_0_R_tra': 10.637435209364941, 'NX_0_ifeat_feat': 0.18374816983894582, 'NX_10_CV': '0.07995', 'NX_10_CV_turn': '0.26600', 'NX_10_ctr': '0.77796', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 7.779581498554597, 'NX_10_ifeat_feat': 0.152}]
[I 221224 14:23:25 utils:134] Epoch: [7], Info: [{'num_test': 100, 'CV': '0.08897', 'CV_turn': '0.32563', 'ctr': '0.78738', 'len_tra': 9.09, 'R_tra': 7.157261297550775, 'ifeat_feat': 0.20462046204620463, 'NX_0_CV': '0.11121', 'NX_0_CV_turn': '0.33303', 'NX_0_ctr': '0.79334', 'NX_0_len_tra': 11.11, 'NX_0_R_tra': 8.813985189114, 'NX_0_ifeat_feat': 0.22682268226822683, 'NX_10_CV': '0.09348', 'NX_10_CV_turn': '0.31100', 'NX_10_ctr': '0.81589', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.158866395755615, 'NX_10_ifeat_feat': 0.183}]
[I 221224 14:23:56 utils:134] Epoch: [8], Info: [{'num_test': 100, 'CV': '0.08867', 'CV_turn': '0.26965', 'ctr': '0.77088', 'len_tra': 10.94, 'R_tra': 8.433405217301917, 'ifeat_feat': 0.18372943327239488, 'NX_0_CV': '0.11452', 'NX_0_CV_turn': '0.27933', 'NX_0_ctr': '0.78683', 'NX_0_len_tra': 13.64, 'NX_0_R_tra': 10.732371615669086, 'NX_0_ifeat_feat': 0.18035190615835778, 'NX_10_CV': '0.08957', 'NX_10_CV_turn': '0.29800', 'NX_10_ctr': '0.79018', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 7.901828331250588, 'NX_10_ifeat_feat': 0.214}]
[I 221224 14:24:27 utils:134] Epoch: [9], Info: [{'num_test': 100, 'CV': '0.08236', 'CV_turn': '0.27959', 'ctr': '0.82300', 'len_tra': 9.8, 'R_tra': 8.065447363096226, 'ifeat_feat': 0.1673469387755102, 'NX_0_CV': '0.11512', 'NX_0_CV_turn': '0.28625', 'NX_0_ctr': '0.78558', 'NX_0_len_tra': 13.38, 'NX_0_R_tra': 10.511090681995364, 'NX_0_ifeat_feat': 0.20029895366218237, 'NX_10_CV': '0.08867', 'NX_10_CV_turn': '0.29500', 'NX_10_ctr': '0.88576', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.857608051810189, 'NX_10_ifeat_feat': 0.2}]
[I 221224 14:25:01 utils:134] Epoch: [10], Info: [{'num_test': 100, 'CV': '0.08386', 'CV_turn': '0.26801', 'ctr': '0.78129', 'len_tra': 10.41, 'R_tra': 8.13319768340768, 'ifeat_feat': 0.1844380403458213, 'NX_0_CV': '0.10851', 'NX_0_CV_turn': '0.27286', 'NX_0_ctr': '0.78116', 'NX_0_len_tra': 13.23, 'NX_0_R_tra': 10.334781196233473, 'NX_0_ifeat_feat': 0.1874527588813303, 'NX_10_CV': '0.08296', 'NX_10_CV_turn': '0.27600', 'NX_10_ctr': '0.82317', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.231696974757522, 'NX_10_ifeat_feat': 0.187}]
[I 221224 14:25:36 utils:134] Epoch: [11], Info: [{'num_test': 100, 'CV': '0.07514', 'CV_turn': '0.25934', 'ctr': '0.80003', 'len_tra': 9.64, 'R_tra': 7.71232402725358, 'ifeat_feat': 0.17531120331950206, 'NX_0_CV': '0.10189', 'NX_0_CV_turn': '0.27229', 'NX_0_ctr': '0.80592', 'NX_0_len_tra': 12.45, 'NX_0_R_tra': 10.033705934162182, 'NX_0_ifeat_feat': 0.21044176706827308, 'NX_10_CV': '0.08145', 'NX_10_CV_turn': '0.27100', 'NX_10_ctr': '0.78679', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 7.867937703473259, 'NX_10_ifeat_feat': 0.176}]
