[I 221224 14:18:30 CIRS-RL-kuaishou:142] {
      "env": "KuaishouEnv-v0",
      "user_model_name": "DeepFM",
      "model_name": "CIRS",
      "seed": 2023,
      "cuda": 7,
      "is_ab": false,
      "cpu": false,
      "is_save": false,
      "version": "v1",
      "tau": 0.0,
      "gamma_exposure": 10,
      "r_decay": 1,
      "leave_threshold": 0,
      "num_leave_compute": 2,
      "max_turn": 30,
      "dim_state": 20,
      "dim_model": 32,
      "nhead": 4,
      "force_length": 10,
      "top_rate": 0.6,
      "buffer_size": 11000,
      "lr": 0.001,
      "gamma": 0.95,
      "epoch": 1000,
      "step_per_epoch": 15000,
      "repeat_per_collect": 2,
      "batch_size": 1024,
      "hidden_sizes": [
        64,
        64
      ],
      "episode_per_collect": 100,
      "training_num": 100,
      "test_num": 100,
      "render": 0,
      "vf_coef": 0.25,
      "ent_coef": 0.0,
      "eps_clip": 0.2,
      "max_grad_norm": 0.5,
      "gae_lambda": 0.95,
      "rew_norm": 1,
      "dual_clip": null,
      "value_clip": 1,
      "norm_adv": 1,
      "recompute_adv": 0,
      "resume": false,
      "save_interval": 1000,
      "read_message": "Pair1",
      "message": "CIRS w_o CI-leave2"
    }
[I 221224 14:20:07 utils:134] Epoch: [1], Info: [{'num_test': 100, 'CV': '0.14608', 'CV_turn': '0.93822', 'ctr': '0.84901', 'len_tra': 5.18, 'R_tra': 4.397853971673332, 'ifeat_feat': 0.6081081081081081, 'NX_0_CV': '0.15870', 'NX_0_CV_turn': '0.90878', 'NX_0_ctr': '0.86281', 'NX_0_len_tra': 5.81, 'NX_0_R_tra': 5.012938129055197, 'NX_0_ifeat_feat': 0.6196213425129088, 'NX_10_CV': '0.26060', 'NX_10_CV_turn': '0.86700', 'NX_10_ctr': '0.88665', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.866451625018765, 'NX_10_ifeat_feat': 0.598}]
[I 221224 14:20:33 utils:134] Epoch: [2], Info: [{'num_test': 100, 'CV': '0.19176', 'CV_turn': '0.75952', 'ctr': '0.79430', 'len_tra': 8.4, 'R_tra': 6.672147235642517, 'ifeat_feat': 0.4142857142857143, 'NX_0_CV': '0.17193', 'NX_0_CV_turn': '0.78356', 'NX_0_ctr': '0.86923', 'NX_0_len_tra': 7.3, 'NX_0_R_tra': 6.345384570179319, 'NX_0_ifeat_feat': 0.3972602739726027, 'NX_10_CV': '0.22122', 'NX_10_CV_turn': '0.73600', 'NX_10_ctr': '0.84231', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.423052674382154, 'NX_10_ifeat_feat': 0.377}]
[I 221224 14:20:57 utils:134] Epoch: [3], Info: [{'num_test': 100, 'CV': '0.14217', 'CV_turn': '0.44123', 'ctr': '0.76078', 'len_tra': 10.72, 'R_tra': 8.155577155944988, 'ifeat_feat': 0.19402985074626866, 'NX_0_CV': '0.17283', 'NX_0_CV_turn': '0.44957', 'NX_0_ctr': '0.83555', 'NX_0_len_tra': 12.79, 'NX_0_R_tra': 10.686697009842746, 'NX_0_ifeat_feat': 0.2329945269741986, 'NX_10_CV': '0.13646', 'NX_10_CV_turn': '0.45400', 'NX_10_ctr': '0.80722', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.072242830317634, 'NX_10_ifeat_feat': 0.197}]
[I 221224 14:21:18 utils:134] Epoch: [4], Info: [{'num_test': 100, 'CV': '0.11512', 'CV_turn': '0.35929', 'ctr': '0.78190', 'len_tra': 10.66, 'R_tra': 8.335004403937766, 'ifeat_feat': 0.16322701688555347, 'NX_0_CV': '0.16381', 'NX_0_CV_turn': '0.34758', 'NX_0_ctr': '0.80036', 'NX_0_len_tra': 15.68, 'NX_0_R_tra': 12.549601371782051, 'NX_0_ifeat_feat': 0.16645408163265307, 'NX_10_CV': '0.11091', 'NX_10_CV_turn': '0.36900', 'NX_10_ctr': '0.84845', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.48448227504392, 'NX_10_ifeat_feat': 0.159}]
[I 221224 14:21:39 utils:134] Epoch: [5], Info: [{'num_test': 100, 'CV': '0.13315', 'CV_turn': '0.32526', 'ctr': '0.80006', 'len_tra': 13.62, 'R_tra': 10.896777327882447, 'ifeat_feat': 0.1894273127753304, 'NX_0_CV': '0.14788', 'NX_0_CV_turn': '0.32888', 'NX_0_ctr': '0.82045', 'NX_0_len_tra': 14.96, 'NX_0_R_tra': 12.273932339132632, 'NX_0_ifeat_feat': 0.2052139037433155, 'NX_10_CV': '0.10129', 'NX_10_CV_turn': '0.33700', 'NX_10_ctr': '0.78676', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 7.867578787393501, 'NX_10_ifeat_feat': 0.182}]
[I 221224 14:22:00 utils:134] Epoch: [6], Info: [{'num_test': 100, 'CV': '0.08416', 'CV_turn': '0.22526', 'ctr': '0.84666', 'len_tra': 12.43, 'R_tra': 10.524002864290457, 'ifeat_feat': 0.13596138374899436, 'NX_0_CV': '0.12263', 'NX_0_CV_turn': '0.24505', 'NX_0_ctr': '0.85888', 'NX_0_len_tra': 16.65, 'NX_0_R_tra': 14.300339826014701, 'NX_0_ifeat_feat': 0.17597597597597597, 'NX_10_CV': '0.08176', 'NX_10_CV_turn': '0.27200', 'NX_10_ctr': '0.84975', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.497501747810546, 'NX_10_ifeat_feat': 0.149}]
[I 221224 14:22:21 utils:134] Epoch: [7], Info: [{'num_test': 100, 'CV': '0.08807', 'CV_turn': '0.20221', 'ctr': '0.85501', 'len_tra': 14.49, 'R_tra': 12.389130230189739, 'ifeat_feat': 0.14285714285714285, 'NX_0_CV': '0.11752', 'NX_0_CV_turn': '0.21954', 'NX_0_ctr': '0.89686', 'NX_0_len_tra': 17.81, 'NX_0_R_tra': 15.973027713434297, 'NX_0_ifeat_feat': 0.1510387422796182, 'NX_10_CV': '0.07334', 'NX_10_CV_turn': '0.24400', 'NX_10_ctr': '0.85672', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.567197675023253, 'NX_10_ifeat_feat': 0.155}]
[I 221224 14:22:41 utils:134] Epoch: [8], Info: [{'num_test': 100, 'CV': '0.07514', 'CV_turn': '0.19747', 'ctr': '0.86771', 'len_tra': 12.66, 'R_tra': 10.985211712711864, 'ifeat_feat': 0.17061611374407584, 'NX_0_CV': '0.09799', 'NX_0_CV_turn': '0.19176', 'NX_0_ctr': '0.83463', 'NX_0_len_tra': 17.0, 'NX_0_R_tra': 14.188747816300083, 'NX_0_ifeat_feat': 0.2011764705882353, 'NX_10_CV': '0.06192', 'NX_10_CV_turn': '0.20600', 'NX_10_ctr': '0.83035', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.303501744007331, 'NX_10_ifeat_feat': 0.171}]
[I 221224 14:23:02 utils:134] Epoch: [9], Info: [{'num_test': 100, 'CV': '0.07695', 'CV_turn': '0.19033', 'ctr': '0.86567', 'len_tra': 13.45, 'R_tra': 11.643294210626463, 'ifeat_feat': 0.19405204460966544, 'NX_0_CV': '0.09588', 'NX_0_CV_turn': '0.19182', 'NX_0_ctr': '0.87163', 'NX_0_len_tra': 16.63, 'NX_0_R_tra': 14.495135728672508, 'NX_0_ifeat_feat': 0.23451593505712567, 'NX_10_CV': '0.06282', 'NX_10_CV_turn': '0.20900', 'NX_10_ctr': '0.88199', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.819943273960003, 'NX_10_ifeat_feat': 0.214}]
[I 221224 14:23:24 utils:134] Epoch: [10], Info: [{'num_test': 100, 'CV': '0.05831', 'CV_turn': '0.14445', 'ctr': '0.90406', 'len_tra': 13.43, 'R_tra': 12.14154795867275, 'ifeat_feat': 0.18838421444527179, 'NX_0_CV': '0.08085', 'NX_0_CV_turn': '0.13662', 'NX_0_ctr': '0.82500', 'NX_0_len_tra': 19.69, 'NX_0_R_tra': 16.244267032549402, 'NX_0_ifeat_feat': 0.20721178263077705, 'NX_10_CV': '0.05380', 'NX_10_CV_turn': '0.17900', 'NX_10_ctr': '0.86902', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.6901565969463, 'NX_10_ifeat_feat': 0.184}]
[I 221224 14:23:46 utils:134] Epoch: [11], Info: [{'num_test': 100, 'CV': '0.08115', 'CV_turn': '0.22149', 'ctr': '0.84252', 'len_tra': 12.19, 'R_tra': 10.270355544848252, 'ifeat_feat': 0.17883511074651354, 'NX_0_CV': '0.10430', 'NX_0_CV_turn': '0.19750', 'NX_0_ctr': '0.92246', 'NX_0_len_tra': 17.57, 'NX_0_R_tra': 16.207705836805143, 'NX_0_ifeat_feat': 0.2088787706317587, 'NX_10_CV': '0.07424', 'NX_10_CV_turn': '0.24700', 'NX_10_ctr': '0.86830', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.682975665833771, 'NX_10_ifeat_feat': 0.179}]
