[I 221226 14:43:10 CIRS-RL-kuaishou:142] {
      "env": "KuaishouEnv-v0",
      "user_model_name": "DeepFM",
      "model_name": "CIRS",
      "seed": 0,
      "cuda": 0,
      "is_ab": true,
      "cpu": false,
      "is_save": false,
      "version": "v1",
      "tau": 10.0,
      "gamma_exposure": 10.0,
      "r_decay": 1,
      "leave_threshold": 0,
      "num_leave_compute": 1,
      "max_turn": 30,
      "dim_state": 20,
      "dim_model": 32,
      "nhead": 4,
      "force_length": 10,
      "top_rate": 0.8,
      "buffer_size": 11000,
      "lr": 0.001,
      "gamma": 0.95,
      "epoch": 1000,
      "step_per_epoch": 15000,
      "repeat_per_collect": 2,
      "batch_size": 1024,
      "hidden_sizes": [
        64,
        64
      ],
      "episode_per_collect": 100,
      "training_num": 100,
      "test_num": 100,
      "render": 0,
      "vf_coef": 0.25,
      "ent_coef": 0.0,
      "eps_clip": 0.2,
      "max_grad_norm": 0.5,
      "gae_lambda": 0.95,
      "rew_norm": 1,
      "dual_clip": null,
      "value_clip": 1,
      "norm_adv": 1,
      "recompute_adv": 0,
      "resume": false,
      "save_interval": 1000,
      "read_message": "Pair11",
      "message": "CIRS-leave1"
    }
[I 221226 14:45:08 utils:134] Epoch: [1], Info: [{'num_test': 100, 'CV': '0.20709', 'CV_turn': '0.87215', 'ctr': '0.90560', 'len_tra': 7.9, 'R_tra': 7.154214328056122, 'ifeat_feat': 0.7949367088607595, 'NX_0_CV': '0.22453', 'NX_0_CV_turn': '0.88823', 'NX_0_ctr': '0.87394', 'NX_0_len_tra': 8.41, 'NX_0_R_tra': 7.349843080775693, 'NX_0_ifeat_feat': 0.7812128418549346, 'NX_10_CV': '0.26450', 'NX_10_CV_turn': '0.88000', 'NX_10_ctr': '0.87667', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.766711291394692, 'NX_10_ifeat_feat': 0.779}]
[I 221226 14:45:57 utils:134] Epoch: [2], Info: [{'num_test': 100, 'CV': '0.21280', 'CV_turn': '0.88390', 'ctr': '0.89437', 'len_tra': 8.01, 'R_tra': 7.1638684928807495, 'ifeat_feat': 0.7553058676654182, 'NX_0_CV': '0.23505', 'NX_0_CV_turn': '0.86123', 'NX_0_ctr': '0.85423', 'NX_0_len_tra': 9.08, 'NX_0_R_tra': 7.756411237479178, 'NX_0_ifeat_feat': 0.7665198237885462, 'NX_10_CV': '0.25488', 'NX_10_CV_turn': '0.84800', 'NX_10_ctr': '0.85269', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.526915969393038, 'NX_10_ifeat_feat': 0.747}]
[I 221226 14:46:37 utils:134] Epoch: [3], Info: [{'num_test': 100, 'CV': '0.26871', 'CV_turn': '0.71865', 'ctr': '0.88893', 'len_tra': 12.44, 'R_tra': 11.058299579247405, 'ifeat_feat': 0.6237942122186495, 'NX_0_CV': '0.27262', 'NX_0_CV_turn': '0.71586', 'NX_0_ctr': '0.86152', 'NX_0_len_tra': 12.67, 'NX_0_R_tra': 10.91544702446058, 'NX_0_ifeat_feat': 0.6250986582478295, 'NX_10_CV': '0.22843', 'NX_10_CV_turn': '0.76000', 'NX_10_ctr': '0.85901', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.590052398476333, 'NX_10_ifeat_feat': 0.63}]
[I 221226 14:47:14 utils:134] Epoch: [4], Info: [{'num_test': 100, 'CV': '0.17343', 'CV_turn': '0.41781', 'ctr': '0.89523', 'len_tra': 13.81, 'R_tra': 12.363145949400028, 'ifeat_feat': 0.4388124547429399, 'NX_0_CV': '0.19928', 'NX_0_CV_turn': '0.41515', 'NX_0_ctr': '0.92375', 'NX_0_len_tra': 15.97, 'NX_0_R_tra': 14.75224698621191, 'NX_0_ifeat_feat': 0.43018159048215404, 'NX_10_CV': '0.12594', 'NX_10_CV_turn': '0.41900', 'NX_10_ctr': '0.91180', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 9.118040511543226, 'NX_10_ifeat_feat': 0.394}]
[I 221226 14:47:44 utils:134] Epoch: [5], Info: [{'num_test': 100, 'CV': '0.16081', 'CV_turn': '0.33458', 'ctr': '0.95310', 'len_tra': 15.99, 'R_tra': 15.240071475462303, 'ifeat_feat': 0.3758599124452783, 'NX_0_CV': '0.19176', 'NX_0_CV_turn': '0.35444', 'NX_0_ctr': '0.89651', 'NX_0_len_tra': 18.0, 'NX_0_R_tra': 16.137114741202453, 'NX_0_ifeat_feat': 0.4011111111111111, 'NX_10_CV': '0.10159', 'NX_10_CV_turn': '0.33800', 'NX_10_ctr': '0.92283', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 9.228327772766264, 'NX_10_ifeat_feat': 0.338}]
[I 221226 14:48:14 utils:134] Epoch: [6], Info: [{'num_test': 100, 'CV': '0.13255', 'CV_turn': '0.27307', 'ctr': '0.94097', 'len_tra': 16.15, 'R_tra': 15.196604816251686, 'ifeat_feat': 0.3523219814241486, 'NX_0_CV': '0.17042', 'NX_0_CV_turn': '0.28665', 'NX_0_ctr': '0.86362', 'NX_0_len_tra': 19.78, 'NX_0_R_tra': 17.08242366899442, 'NX_0_ifeat_feat': 0.391304347826087, 'NX_10_CV': '0.08115', 'NX_10_CV_turn': '0.27000', 'NX_10_ctr': '0.87263', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.726338553857294, 'NX_10_ifeat_feat': 0.332}]
[I 221226 14:48:44 utils:134] Epoch: [7], Info: [{'num_test': 100, 'CV': '0.15149', 'CV_turn': '0.27184', 'ctr': '0.86908', 'len_tra': 18.54, 'R_tra': 16.112668482449738, 'ifeat_feat': 0.3640776699029126, 'NX_0_CV': '0.17854', 'NX_0_CV_turn': '0.28059', 'NX_0_ctr': '0.83265', 'NX_0_len_tra': 21.17, 'NX_0_R_tra': 17.627133331891763, 'NX_0_ifeat_feat': 0.38639584317430326, 'NX_10_CV': '0.07394', 'NX_10_CV_turn': '0.24600', 'NX_10_ctr': '0.90089', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 9.00886969088292, 'NX_10_ifeat_feat': 0.335}]
[I 221226 14:49:12 utils:134] Epoch: [8], Info: [{'num_test': 100, 'CV': '0.13135', 'CV_turn': '0.26761', 'ctr': '0.90353', 'len_tra': 16.33, 'R_tra': 14.7546732133133, 'ifeat_feat': 0.3533374157991427, 'NX_0_CV': '0.16982', 'NX_0_CV_turn': '0.27574', 'NX_0_ctr': '0.93261', 'NX_0_len_tra': 20.49, 'NX_0_R_tra': 19.109126027020565, 'NX_0_ifeat_feat': 0.38848218643240606, 'NX_10_CV': '0.07995', 'NX_10_CV_turn': '0.26600', 'NX_10_ctr': '0.88538', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.853842009758358, 'NX_10_ifeat_feat': 0.349}]
[I 221226 14:49:44 utils:134] Epoch: [9], Info: [{'num_test': 100, 'CV': '0.14037', 'CV_turn': '0.26885', 'ctr': '0.90940', 'len_tra': 17.37, 'R_tra': 15.796296420064158, 'ifeat_feat': 0.3793897524467473, 'NX_0_CV': '0.17403', 'NX_0_CV_turn': '0.30667', 'NX_0_ctr': '0.95441', 'NX_0_len_tra': 18.88, 'NX_0_R_tra': 18.01926877737425, 'NX_0_ifeat_feat': 0.4046610169491525, 'NX_10_CV': '0.08115', 'NX_10_CV_turn': '0.27000', 'NX_10_ctr': '0.96995', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 9.699528596309513, 'NX_10_ifeat_feat': 0.358}]
[I 221226 14:50:13 utils:134] Epoch: [10], Info: [{'num_test': 100, 'CV': '0.16592', 'CV_turn': '0.28765', 'ctr': '0.90953', 'len_tra': 19.19, 'R_tra': 17.453914411710777, 'ifeat_feat': 0.3845752996352267, 'NX_0_CV': '0.18215', 'NX_0_CV_turn': '0.30468', 'NX_0_ctr': '0.90352', 'NX_0_len_tra': 19.89, 'NX_0_R_tra': 17.97110176551209, 'NX_0_ifeat_feat': 0.3911513323278029, 'NX_10_CV': '0.09047', 'NX_10_CV_turn': '0.30100', 'NX_10_ctr': '0.92673', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 9.267336281641963, 'NX_10_ifeat_feat': 0.348}]
[I 221226 14:50:42 utils:134] Epoch: [11], Info: [{'num_test': 100, 'CV': '0.13165', 'CV_turn': '0.25902', 'ctr': '0.91800', 'len_tra': 16.91, 'R_tra': 15.523405257653671, 'ifeat_feat': 0.38320520402128916, 'NX_0_CV': '0.16622', 'NX_0_CV_turn': '0.25793', 'NX_0_ctr': '0.88170', 'NX_0_len_tra': 21.44, 'NX_0_R_tra': 18.903728481932323, 'NX_0_ifeat_feat': 0.4146455223880597, 'NX_10_CV': '0.08025', 'NX_10_CV_turn': '0.26700', 'NX_10_ctr': '0.93983', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 9.398344664266567, 'NX_10_ifeat_feat': 0.391}]
