[I 221224 15:19:29 CIRS-RL-kuaishou:142] {
      "env": "KuaishouEnv-v0",
      "user_model_name": "DeepFM",
      "model_name": "CIRS",
      "seed": 2023,
      "cuda": 3,
      "is_ab": true,
      "cpu": false,
      "is_save": false,
      "version": "v1",
      "tau": 10.0,
      "gamma_exposure": 10.0,
      "r_decay": 1,
      "leave_threshold": 0,
      "num_leave_compute": 4,
      "max_turn": 30,
      "dim_state": 20,
      "dim_model": 32,
      "nhead": 4,
      "force_length": 10,
      "top_rate": 0.6,
      "buffer_size": 11000,
      "lr": 0.001,
      "gamma": 0.95,
      "epoch": 1000,
      "step_per_epoch": 15000,
      "repeat_per_collect": 2,
      "batch_size": 1024,
      "hidden_sizes": [
        64,
        64
      ],
      "episode_per_collect": 100,
      "training_num": 100,
      "test_num": 100,
      "render": 0,
      "vf_coef": 0.25,
      "ent_coef": 0.0,
      "eps_clip": 0.2,
      "max_grad_norm": 0.5,
      "gae_lambda": 0.95,
      "rew_norm": 1,
      "dual_clip": null,
      "value_clip": 1,
      "norm_adv": 1,
      "recompute_adv": 0,
      "resume": false,
      "save_interval": 1000,
      "read_message": "Pair11",
      "message": "CIRS-leave4"
    }
[I 221224 15:21:39 utils:134] Epoch: [1], Info: [{'num_test': 100, 'CV': '0.14007', 'CV_turn': '0.91552', 'ctr': '0.81464', 'len_tra': 5.09, 'R_tra': 4.14651251917149, 'ifeat_feat': 0.6070726915520629, 'NX_0_CV': '0.14127', 'NX_0_CV_turn': '0.91797', 'NX_0_ctr': '0.84775', 'NX_0_len_tra': 5.12, 'NX_0_R_tra': 4.3405013311172995, 'NX_0_ifeat_feat': 0.583984375, 'NX_10_CV': '0.25819', 'NX_10_CV_turn': '0.85900', 'NX_10_ctr': '0.87305', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.730477886784158, 'NX_10_ifeat_feat': 0.622}]
[I 221224 15:22:11 utils:134] Epoch: [2], Info: [{'num_test': 100, 'CV': '0.14247', 'CV_turn': '0.65021', 'ctr': '0.84196', 'len_tra': 7.29, 'R_tra': 6.137862971185595, 'ifeat_feat': 0.3045267489711934, 'NX_0_CV': '0.13886', 'NX_0_CV_turn': '0.66475', 'NX_0_ctr': '0.83989', 'NX_0_len_tra': 6.95, 'NX_0_R_tra': 5.837204095200796, 'NX_0_ifeat_feat': 0.29640287769784174, 'NX_10_CV': '0.17674', 'NX_10_CV_turn': '0.58800', 'NX_10_ctr': '0.88151', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.815139183337852, 'NX_10_ifeat_feat': 0.289}]
[I 221224 15:22:44 utils:134] Epoch: [3], Info: [{'num_test': 100, 'CV': '0.08176', 'CV_turn': '0.35837', 'ctr': '0.81753', 'len_tra': 7.59, 'R_tra': 6.205017863145765, 'ifeat_feat': 0.16205533596837945, 'NX_0_CV': '0.08927', 'NX_0_CV_turn': '0.31663', 'NX_0_ctr': '0.80867', 'NX_0_len_tra': 9.38, 'NX_0_R_tra': 7.585302182451801, 'NX_0_ifeat_feat': 0.1673773987206823, 'NX_10_CV': '0.10009', 'NX_10_CV_turn': '0.33300', 'NX_10_ctr': '0.83577', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.357679164778087, 'NX_10_ifeat_feat': 0.17}]
[I 221224 15:23:18 utils:134] Epoch: [4], Info: [{'num_test': 100, 'CV': '0.07424', 'CV_turn': '0.30494', 'ctr': '0.84834', 'len_tra': 8.1, 'R_tra': 6.871570222418391, 'ifeat_feat': 0.16296296296296298, 'NX_0_CV': '0.10791', 'NX_0_CV_turn': '0.30219', 'NX_0_ctr': '0.85313', 'NX_0_len_tra': 11.88, 'NX_0_R_tra': 10.135127285167128, 'NX_0_ifeat_feat': 0.17255892255892255, 'NX_10_CV': '0.09318', 'NX_10_CV_turn': '0.31000', 'NX_10_ctr': '0.84617', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.461746713862347, 'NX_10_ifeat_feat': 0.184}]
[I 221224 15:23:52 utils:134] Epoch: [5], Info: [{'num_test': 100, 'CV': '0.07214', 'CV_turn': '0.28537', 'ctr': '0.82366', 'len_tra': 8.41, 'R_tra': 6.926961425233271, 'ifeat_feat': 0.1759809750297265, 'NX_0_CV': '0.08777', 'NX_0_CV_turn': '0.26888', 'NX_0_ctr': '0.86233', 'NX_0_len_tra': 10.86, 'NX_0_R_tra': 9.364873094135985, 'NX_0_ifeat_feat': 0.2007366482504604, 'NX_10_CV': '0.07755', 'NX_10_CV_turn': '0.25800', 'NX_10_ctr': '0.82650', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.264972231365812, 'NX_10_ifeat_feat': 0.198}]
[I 221224 15:24:26 utils:134] Epoch: [6], Info: [{'num_test': 100, 'CV': '0.05741', 'CV_turn': '0.20362', 'ctr': '0.80895', 'len_tra': 9.38, 'R_tra': 7.587989474726458, 'ifeat_feat': 0.1908315565031983, 'NX_0_CV': '0.07965', 'NX_0_CV_turn': '0.19371', 'NX_0_ctr': '0.80465', 'NX_0_len_tra': 13.68, 'NX_0_R_tra': 11.007613569354907, 'NX_0_ifeat_feat': 0.19736842105263158, 'NX_10_CV': '0.06853', 'NX_10_CV_turn': '0.22800', 'NX_10_ctr': '0.81655', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.165493489467664, 'NX_10_ifeat_feat': 0.217}]
[I 221224 15:25:00 utils:134] Epoch: [7], Info: [{'num_test': 100, 'CV': '0.07033', 'CV_turn': '0.26322', 'ctr': '0.79425', 'len_tra': 8.89, 'R_tra': 7.0609016211252955, 'ifeat_feat': 0.20247469066366705, 'NX_0_CV': '0.08867', 'NX_0_CV_turn': '0.27570', 'NX_0_ctr': '0.84925', 'NX_0_len_tra': 10.7, 'NX_0_R_tra': 9.087016260044518, 'NX_0_ifeat_feat': 0.2177570093457944, 'NX_10_CV': '0.08356', 'NX_10_CV_turn': '0.27800', 'NX_10_ctr': '0.80300', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.030024370387705, 'NX_10_ifeat_feat': 0.184}]
[I 221224 15:25:32 utils:134] Epoch: [8], Info: [{'num_test': 100, 'CV': '0.06462', 'CV_turn': '0.24103', 'ctr': '0.85341', 'len_tra': 8.92, 'R_tra': 7.612392859012558, 'ifeat_feat': 0.18834080717488788, 'NX_0_CV': '0.07905', 'NX_0_CV_turn': '0.25411', 'NX_0_ctr': '0.82574', 'NX_0_len_tra': 10.35, 'NX_0_R_tra': 8.546414010610455, 'NX_0_ifeat_feat': 0.21545893719806763, 'NX_10_CV': '0.07394', 'NX_10_CV_turn': '0.24600', 'NX_10_ctr': '0.83759', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.375942886018073, 'NX_10_ifeat_feat': 0.221}]
[I 221224 15:26:06 utils:134] Epoch: [9], Info: [{'num_test': 100, 'CV': '0.07304', 'CV_turn': '0.25633', 'ctr': '0.80781', 'len_tra': 9.48, 'R_tra': 7.658077894255435, 'ifeat_feat': 0.2289029535864979, 'NX_0_CV': '0.09678', 'NX_0_CV_turn': '0.29953', 'NX_0_ctr': '0.82140', 'NX_0_len_tra': 10.75, 'NX_0_R_tra': 8.83005907854672, 'NX_0_ifeat_feat': 0.22511627906976744, 'NX_10_CV': '0.08476', 'NX_10_CV_turn': '0.28200', 'NX_10_ctr': '0.81811', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.181107606544948, 'NX_10_ifeat_feat': 0.21}]
[I 221224 15:26:38 utils:134] Epoch: [10], Info: [{'num_test': 100, 'CV': '0.07154', 'CV_turn': '0.23040', 'ctr': '0.86853', 'len_tra': 10.33, 'R_tra': 8.971904570309595, 'ifeat_feat': 0.21684414327202323, 'NX_0_CV': '0.09468', 'NX_0_CV_turn': '0.25424', 'NX_0_ctr': '0.81373', 'NX_0_len_tra': 12.39, 'NX_0_R_tra': 10.082106437050326, 'NX_0_ifeat_feat': 0.22114608555286522, 'NX_10_CV': '0.07574', 'NX_10_CV_turn': '0.25200', 'NX_10_ctr': '0.82525', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.252526497753095, 'NX_10_ifeat_feat': 0.223}]
[I 221224 15:27:09 utils:134] Epoch: [11], Info: [{'num_test': 100, 'CV': '0.05561', 'CV_turn': '0.18482', 'ctr': '0.79439', 'len_tra': 10.01, 'R_tra': 7.951862098985239, 'ifeat_feat': 0.1848151848151848, 'NX_0_CV': '0.07334', 'NX_0_CV_turn': '0.18074', 'NX_0_ctr': '0.79276', 'NX_0_len_tra': 13.5, 'NX_0_R_tra': 10.702323944213127, 'NX_0_ifeat_feat': 0.1925925925925926, 'NX_10_CV': '0.05861', 'NX_10_CV_turn': '0.19500', 'NX_10_ctr': '0.82179', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.21789204751349, 'NX_10_ifeat_feat': 0.168}]
