[I 221226 14:43:12 CIRS-RL-kuaishou:142] {
      "env": "KuaishouEnv-v0",
      "user_model_name": "DeepFM",
      "model_name": "CIRS",
      "seed": 2020,
      "cuda": 7,
      "is_ab": false,
      "cpu": false,
      "is_save": false,
      "version": "v1",
      "tau": 0.0,
      "gamma_exposure": 10,
      "r_decay": 1,
      "leave_threshold": 0,
      "num_leave_compute": 1,
      "max_turn": 30,
      "dim_state": 20,
      "dim_model": 32,
      "nhead": 4,
      "force_length": 10,
      "top_rate": 0.8,
      "buffer_size": 11000,
      "lr": 0.001,
      "gamma": 0.95,
      "epoch": 1000,
      "step_per_epoch": 15000,
      "repeat_per_collect": 2,
      "batch_size": 1024,
      "hidden_sizes": [
        64,
        64
      ],
      "episode_per_collect": 100,
      "training_num": 100,
      "test_num": 100,
      "render": 0,
      "vf_coef": 0.25,
      "ent_coef": 0.0,
      "eps_clip": 0.2,
      "max_grad_norm": 0.5,
      "gae_lambda": 0.95,
      "rew_norm": 1,
      "dual_clip": null,
      "value_clip": 1,
      "norm_adv": 1,
      "recompute_adv": 0,
      "resume": false,
      "save_interval": 1000,
      "read_message": "Pair1",
      "message": "CIRS w_o CI-leave1"
    }
[I 221226 14:45:25 utils:134] Epoch: [1], Info: [{'num_test': 100, 'CV': '0.17613', 'CV_turn': '0.90994', 'ctr': '0.91079', 'len_tra': 6.44, 'R_tra': 5.865505541798507, 'ifeat_feat': 0.7981366459627329, 'NX_0_CV': '0.19898', 'NX_0_CV_turn': '0.85199', 'NX_0_ctr': '0.89966', 'NX_0_len_tra': 7.77, 'NX_0_R_tra': 6.990370040581281, 'NX_0_ifeat_feat': 0.8005148005148005, 'NX_10_CV': '0.25969', 'NX_10_CV_turn': '0.86400', 'NX_10_ctr': '0.88213', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.821319556212448, 'NX_10_ifeat_feat': 0.774}]
[I 221226 14:46:14 utils:134] Epoch: [2], Info: [{'num_test': 100, 'CV': '0.22964', 'CV_turn': '0.84327', 'ctr': '0.85753', 'len_tra': 9.06, 'R_tra': 7.769223403760025, 'ifeat_feat': 0.7196467991169978, 'NX_0_CV': '0.22423', 'NX_0_CV_turn': '0.86343', 'NX_0_ctr': '0.87509', 'NX_0_len_tra': 8.64, 'NX_0_R_tra': 7.560763156987836, 'NX_0_ifeat_feat': 0.7256944444444444, 'NX_10_CV': '0.24527', 'NX_10_CV_turn': '0.81600', 'NX_10_ctr': '0.88612', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.861156557386003, 'NX_10_ifeat_feat': 0.744}]
[I 221226 14:46:49 utils:134] Epoch: [3], Info: [{'num_test': 100, 'CV': '0.22843', 'CV_turn': '0.54559', 'ctr': '0.83947', 'len_tra': 13.93, 'R_tra': 11.693862719175288, 'ifeat_feat': 0.5147164393395549, 'NX_0_CV': '0.21010', 'NX_0_CV_turn': '0.54228', 'NX_0_ctr': '0.86247', 'NX_0_len_tra': 12.89, 'NX_0_R_tra': 11.117227323474326, 'NX_0_ifeat_feat': 0.5469356089992242, 'NX_10_CV': '0.17644', 'NX_10_CV_turn': '0.58700', 'NX_10_ctr': '0.88964', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.89637199130368, 'NX_10_ifeat_feat': 0.515}]
[I 221226 14:47:19 utils:134] Epoch: [4], Info: [{'num_test': 100, 'CV': '0.15479', 'CV_turn': '0.34750', 'ctr': '0.82795', 'len_tra': 14.82, 'R_tra': 12.270210271668857, 'ifeat_feat': 0.36639676113360325, 'NX_0_CV': '0.19898', 'NX_0_CV_turn': '0.35534', 'NX_0_ctr': '0.84910', 'NX_0_len_tra': 18.63, 'NX_0_R_tra': 15.818771830601948, 'NX_0_ifeat_feat': 0.3961352657004831, 'NX_10_CV': '0.10310', 'NX_10_CV_turn': '0.34300', 'NX_10_ctr': '0.79944', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 7.994417061553503, 'NX_10_ifeat_feat': 0.344}]
[I 221226 14:47:48 utils:134] Epoch: [5], Info: [{'num_test': 100, 'CV': '0.15870', 'CV_turn': '0.30293', 'ctr': '0.78098', 'len_tra': 17.43, 'R_tra': 13.612549941420257, 'ifeat_feat': 0.40218014916810096, 'NX_0_CV': '0.17944', 'NX_0_CV_turn': '0.30678', 'NX_0_ctr': '0.79106', 'NX_0_len_tra': 19.46, 'NX_0_R_tra': 15.393949359370321, 'NX_0_ifeat_feat': 0.4265159301130524, 'NX_10_CV': '0.07665', 'NX_10_CV_turn': '0.25500', 'NX_10_ctr': '0.77441', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 7.744078741728089, 'NX_10_ifeat_feat': 0.336}]
[I 221226 14:48:12 utils:134] Epoch: [6], Info: [{'num_test': 100, 'CV': '0.11662', 'CV_turn': '0.23558', 'ctr': '0.84120', 'len_tra': 16.47, 'R_tra': 13.854568605159946, 'ifeat_feat': 0.3612629022465088, 'NX_0_CV': '0.17463', 'NX_0_CV_turn': '0.26493', 'NX_0_ctr': '0.83187', 'NX_0_len_tra': 21.93, 'NX_0_R_tra': 18.242863245420676, 'NX_0_ifeat_feat': 0.404468764249886, 'NX_10_CV': '0.06342', 'NX_10_CV_turn': '0.21100', 'NX_10_ctr': '0.84305', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.43054392724235, 'NX_10_ifeat_feat': 0.303}]
[I 221226 14:48:41 utils:134] Epoch: [7], Info: [{'num_test': 100, 'CV': '0.10249', 'CV_turn': '0.19179', 'ctr': '0.81295', 'len_tra': 17.78, 'R_tra': 14.45424581054399, 'ifeat_feat': 0.40607424071991, 'NX_0_CV': '0.14427', 'NX_0_CV_turn': '0.21928', 'NX_0_ctr': '0.82308', 'NX_0_len_tra': 21.89, 'NX_0_R_tra': 18.01729939675577, 'NX_0_ifeat_feat': 0.4481498401096391, 'NX_10_CV': '0.05140', 'NX_10_CV_turn': '0.17100', 'NX_10_ctr': '0.81084', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.108437357829207, 'NX_10_ifeat_feat': 0.401}]
[I 221226 14:49:08 utils:134] Epoch: [8], Info: [{'num_test': 100, 'CV': '0.09648', 'CV_turn': '0.18322', 'ctr': '0.78029', 'len_tra': 17.52, 'R_tra': 13.670602123901288, 'ifeat_feat': 0.4143835616438356, 'NX_0_CV': '0.14007', 'NX_0_CV_turn': '0.20340', 'NX_0_ctr': '0.78542', 'NX_0_len_tra': 22.91, 'NX_0_R_tra': 17.993873172897505, 'NX_0_ifeat_feat': 0.40375381929288523, 'NX_10_CV': '0.04869', 'NX_10_CV_turn': '0.16200', 'NX_10_ctr': '0.77356', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 7.735621331272894, 'NX_10_ifeat_feat': 0.351}]
[I 221226 14:49:37 utils:134] Epoch: [9], Info: [{'num_test': 100, 'CV': '0.07755', 'CV_turn': '0.14349', 'ctr': '0.85079', 'len_tra': 17.98, 'R_tra': 15.297272660078468, 'ifeat_feat': 0.35372636262513907, 'NX_0_CV': '0.11993', 'NX_0_CV_turn': '0.17546', 'NX_0_ctr': '0.83499', 'NX_0_len_tra': 22.74, 'NX_0_R_tra': 18.98756216149621, 'NX_0_ifeat_feat': 0.3751099384344767, 'NX_10_CV': '0.04148', 'NX_10_CV_turn': '0.13800', 'NX_10_ctr': '0.86485', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.648468160314422, 'NX_10_ifeat_feat': 0.337}]
[I 221226 14:50:06 utils:134] Epoch: [10], Info: [{'num_test': 100, 'CV': '0.06312', 'CV_turn': '0.11339', 'ctr': '0.82037', 'len_tra': 18.52, 'R_tra': 15.193336796780763, 'ifeat_feat': 0.36555075593952485, 'NX_0_CV': '0.09498', 'NX_0_CV_turn': '0.14126', 'NX_0_ctr': '0.83453', 'NX_0_len_tra': 22.37, 'NX_0_R_tra': 18.668447292889383, 'NX_0_ifeat_feat': 0.3835493965131873, 'NX_10_CV': '0.04058', 'NX_10_CV_turn': '0.13500', 'NX_10_ctr': '0.80203', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.020291184283602, 'NX_10_ifeat_feat': 0.349}]
[I 221226 14:50:34 utils:134] Epoch: [11], Info: [{'num_test': 100, 'CV': '0.05621', 'CV_turn': '0.10583', 'ctr': '0.78251', 'len_tra': 17.67, 'R_tra': 13.827013478346673, 'ifeat_feat': 0.33672891907187325, 'NX_0_CV': '0.09197', 'NX_0_CV_turn': '0.12879', 'NX_0_ctr': '0.82398', 'NX_0_len_tra': 23.76, 'NX_0_R_tra': 19.5777778194925, 'NX_0_ifeat_feat': 0.35563973063973064, 'NX_10_CV': '0.03577', 'NX_10_CV_turn': '0.11900', 'NX_10_ctr': '0.77711', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 7.771080127745336, 'NX_10_ifeat_feat': 0.33}]
