[I 221224 14:18:30 CIRS-RL-kuaishou:142] {
      "env": "KuaishouEnv-v0",
      "user_model_name": "DeepFM",
      "model_name": "CIRS",
      "seed": 2023,
      "cuda": 0,
      "is_ab": false,
      "cpu": false,
      "is_save": false,
      "version": "v1",
      "tau": 0.0,
      "gamma_exposure": 10,
      "r_decay": 1,
      "leave_threshold": 0,
      "num_leave_compute": 3,
      "max_turn": 30,
      "dim_state": 20,
      "dim_model": 32,
      "nhead": 4,
      "force_length": 10,
      "top_rate": 0.6,
      "buffer_size": 11000,
      "lr": 0.001,
      "gamma": 0.95,
      "epoch": 1000,
      "step_per_epoch": 15000,
      "repeat_per_collect": 2,
      "batch_size": 1024,
      "hidden_sizes": [
        64,
        64
      ],
      "episode_per_collect": 100,
      "training_num": 100,
      "test_num": 100,
      "render": 0,
      "vf_coef": 0.25,
      "ent_coef": 0.0,
      "eps_clip": 0.2,
      "max_grad_norm": 0.5,
      "gae_lambda": 0.95,
      "rew_norm": 1,
      "dual_clip": null,
      "value_clip": 1,
      "norm_adv": 1,
      "recompute_adv": 0,
      "resume": false,
      "save_interval": 1000,
      "read_message": "Pair1",
      "message": "CIRS w_o CI-leave3"
    }
[I 221224 14:26:44 utils:134] Epoch: [12], Info: [{'num_test': 100, 'CV': '0.07484', 'CV_turn': '0.23446', 'ctr': '0.83056', 'len_tra': 10.62, 'R_tra': 8.82058403017601, 'ifeat_feat': 0.17419962335216574, 'NX_0_CV': '0.09288', 'NX_0_CV_turn': '0.24178', 'NX_0_ctr': '0.82674', 'NX_0_len_tra': 12.78, 'NX_0_R_tra': 10.565690979195022, 'NX_0_ifeat_feat': 0.19640062597809077, 'NX_10_CV': '0.07755', 'NX_10_CV_turn': '0.25800', 'NX_10_ctr': '0.78284', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 7.828402086410173, 'NX_10_ifeat_feat': 0.186}]
[I 221224 14:27:18 utils:134] Epoch: [13], Info: [{'num_test': 100, 'CV': '0.07815', 'CV_turn': '0.22688', 'ctr': '0.84105', 'len_tra': 11.46, 'R_tra': 9.63839486410639, 'ifeat_feat': 0.1762652705061082, 'NX_0_CV': '0.09648', 'NX_0_CV_turn': '0.24560', 'NX_0_ctr': '0.85331', 'NX_0_len_tra': 13.07, 'NX_0_R_tra': 11.152700692014736, 'NX_0_ifeat_feat': 0.19510328997704668, 'NX_10_CV': '0.07604', 'NX_10_CV_turn': '0.25300', 'NX_10_ctr': '0.80892', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.089224340284284, 'NX_10_ifeat_feat': 0.175}]
[I 221224 14:27:53 utils:134] Epoch: [14], Info: [{'num_test': 100, 'CV': '0.07725', 'CV_turn': '0.21761', 'ctr': '0.84373', 'len_tra': 11.81, 'R_tra': 9.96439717573495, 'ifeat_feat': 0.21761219305673157, 'NX_0_CV': '0.08897', 'NX_0_CV_turn': '0.22910', 'NX_0_ctr': '0.85280', 'NX_0_len_tra': 12.92, 'NX_0_R_tra': 11.018136769620199, 'NX_0_ifeat_feat': 0.21749226006191952, 'NX_10_CV': '0.06973', 'NX_10_CV_turn': '0.23200', 'NX_10_ctr': '0.89892', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.989203576102668, 'NX_10_ifeat_feat': 0.206}]
[I 221224 14:28:28 utils:134] Epoch: [15], Info: [{'num_test': 100, 'CV': '0.07665', 'CV_turn': '0.25173', 'ctr': '0.84051', 'len_tra': 10.13, 'R_tra': 8.514394378425974, 'ifeat_feat': 0.23297137216189537, 'NX_0_CV': '0.09678', 'NX_0_CV_turn': '0.24211', 'NX_0_ctr': '0.87486', 'NX_0_len_tra': 13.3, 'NX_0_R_tra': 11.63565905781544, 'NX_0_ifeat_feat': 0.22255639097744362, 'NX_10_CV': '0.07364', 'NX_10_CV_turn': '0.24500', 'NX_10_ctr': '0.85487', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.548681118045963, 'NX_10_ifeat_feat': 0.183}]
[I 221224 14:29:00 utils:134] Epoch: [16], Info: [{'num_test': 100, 'CV': '0.06372', 'CV_turn': '0.20928', 'ctr': '0.85813', 'len_tra': 10.13, 'R_tra': 8.692900666728928, 'ifeat_feat': 0.18361303060217177, 'NX_0_CV': '0.09047', 'NX_0_CV_turn': '0.20093', 'NX_0_ctr': '0.84010', 'NX_0_len_tra': 14.98, 'NX_0_R_tra': 12.584631676007081, 'NX_0_ifeat_feat': 0.19759679572763686, 'NX_10_CV': '0.06462', 'NX_10_CV_turn': '0.21500', 'NX_10_ctr': '0.82716', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.271580074121461, 'NX_10_ifeat_feat': 0.169}]
[I 221224 14:29:36 utils:134] Epoch: [17], Info: [{'num_test': 100, 'CV': '0.07184', 'CV_turn': '0.21002', 'ctr': '0.82703', 'len_tra': 11.38, 'R_tra': 9.411577563941327, 'ifeat_feat': 0.1695957820738137, 'NX_0_CV': '0.09949', 'NX_0_CV_turn': '0.24374', 'NX_0_ctr': '0.87060', 'NX_0_len_tra': 13.58, 'NX_0_R_tra': 11.822761565070989, 'NX_0_ifeat_feat': 0.18998527245949925, 'NX_10_CV': '0.07304', 'NX_10_CV_turn': '0.24300', 'NX_10_ctr': '0.84867', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.486718366375905, 'NX_10_ifeat_feat': 0.176}]
[I 221224 14:30:08 utils:134] Epoch: [18], Info: [{'num_test': 100, 'CV': '0.07905', 'CV_turn': '0.30092', 'ctr': '0.92558', 'len_tra': 8.74, 'R_tra': 8.089531973037797, 'ifeat_feat': 0.18878718535469108, 'NX_0_CV': '0.09528', 'NX_0_CV_turn': '0.26774', 'NX_0_ctr': '0.88230', 'NX_0_len_tra': 11.84, 'NX_0_R_tra': 10.44647659775318, 'NX_0_ifeat_feat': 0.18496621621621623, 'NX_10_CV': '0.08236', 'NX_10_CV_turn': '0.27400', 'NX_10_ctr': '0.85666', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.56658100408919, 'NX_10_ifeat_feat': 0.181}]
[I 221224 14:30:42 utils:134] Epoch: [19], Info: [{'num_test': 100, 'CV': '0.07574', 'CV_turn': '0.20471', 'ctr': '0.89590', 'len_tra': 12.31, 'R_tra': 11.028476568407495, 'ifeat_feat': 0.1941510966693745, 'NX_0_CV': '0.09949', 'NX_0_CV_turn': '0.23244', 'NX_0_ctr': '0.88331', 'NX_0_len_tra': 14.24, 'NX_0_R_tra': 12.578403995731149, 'NX_0_ifeat_feat': 0.22963483146067415, 'NX_10_CV': '0.06823', 'NX_10_CV_turn': '0.22700', 'NX_10_ctr': '0.84885', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.488465744613611, 'NX_10_ifeat_feat': 0.184}]
[I 221224 14:31:16 utils:134] Epoch: [20], Info: [{'num_test': 100, 'CV': '0.06913', 'CV_turn': '0.23445', 'ctr': '0.88224', 'len_tra': 9.81, 'R_tra': 8.65480389878162, 'ifeat_feat': 0.199796126401631, 'NX_0_CV': '0.09288', 'NX_0_CV_turn': '0.21533', 'NX_0_ctr': '0.87405', 'NX_0_len_tra': 14.35, 'NX_0_R_tra': 12.542650030050982, 'NX_0_ifeat_feat': 0.2062717770034843, 'NX_10_CV': '0.06763', 'NX_10_CV_turn': '0.22500', 'NX_10_ctr': '0.84405', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.440505462840921, 'NX_10_ifeat_feat': 0.203}]
[I 221224 14:31:51 utils:134] Epoch: [21], Info: [{'num_test': 100, 'CV': '0.05380', 'CV_turn': '0.16823', 'ctr': '0.95007', 'len_tra': 10.64, 'R_tra': 10.108785893484773, 'ifeat_feat': 0.17763157894736842, 'NX_0_CV': '0.06703', 'NX_0_CV_turn': '0.14396', 'NX_0_ctr': '0.83196', 'NX_0_len_tra': 15.49, 'NX_0_R_tra': 12.887081374748169, 'NX_0_ifeat_feat': 0.19044544867656552, 'NX_10_CV': '0.05500', 'NX_10_CV_turn': '0.18300', 'NX_10_ctr': '0.88920', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.892026801930989, 'NX_10_ifeat_feat': 0.209}]
