[I 221224 15:19:28 CIRS-RL-kuaishou:142] {
      "env": "KuaishouEnv-v0",
      "user_model_name": "DeepFM",
      "model_name": "CIRS",
      "seed": 2023,
      "cuda": 2,
      "is_ab": false,
      "cpu": false,
      "is_save": false,
      "version": "v1",
      "tau": 0.0,
      "gamma_exposure": 10,
      "r_decay": 1,
      "leave_threshold": 0,
      "num_leave_compute": 5,
      "max_turn": 30,
      "dim_state": 20,
      "dim_model": 32,
      "nhead": 4,
      "force_length": 10,
      "top_rate": 0.6,
      "buffer_size": 11000,
      "lr": 0.001,
      "gamma": 0.95,
      "epoch": 1000,
      "step_per_epoch": 15000,
      "repeat_per_collect": 2,
      "batch_size": 1024,
      "hidden_sizes": [
        64,
        64
      ],
      "episode_per_collect": 100,
      "training_num": 100,
      "test_num": 100,
      "render": 0,
      "vf_coef": 0.25,
      "ent_coef": 0.0,
      "eps_clip": 0.2,
      "max_grad_norm": 0.5,
      "gae_lambda": 0.95,
      "rew_norm": 1,
      "dual_clip": null,
      "value_clip": 1,
      "norm_adv": 1,
      "recompute_adv": 0,
      "resume": false,
      "save_interval": 1000,
      "read_message": "Pair1",
      "message": "CIRS w_o CI-leave5"
    }
[I 221224 15:21:52 utils:134] Epoch: [1], Info: [{'num_test': 100, 'CV': '0.14217', 'CV_turn': '0.92564', 'ctr': '0.85177', 'len_tra': 5.11, 'R_tra': 4.352556389299255, 'ifeat_feat': 0.598825831702544, 'NX_0_CV': '0.14097', 'NX_0_CV_turn': '0.90891', 'NX_0_ctr': '0.85686', 'NX_0_len_tra': 5.16, 'NX_0_R_tra': 4.4214147312949414, 'NX_0_ifeat_feat': 0.5717054263565892, 'NX_10_CV': '0.25579', 'NX_10_CV_turn': '0.85100', 'NX_10_ctr': '0.84562', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.456184082845825, 'NX_10_ifeat_feat': 0.573}]
[I 221224 15:22:39 utils:134] Epoch: [2], Info: [{'num_test': 100, 'CV': '0.11843', 'CV_turn': '0.51571', 'ctr': '0.84822', 'len_tra': 7.64, 'R_tra': 6.480386851209038, 'ifeat_feat': 0.2617801047120419, 'NX_0_CV': '0.12203', 'NX_0_CV_turn': '0.53141', 'NX_0_ctr': '0.85310', 'NX_0_len_tra': 7.64, 'NX_0_R_tra': 6.51771559613617, 'NX_0_ifeat_feat': 0.2356020942408377, 'NX_10_CV': '0.15299', 'NX_10_CV_turn': '0.50900', 'NX_10_ctr': '0.87415', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.741535763798757, 'NX_10_ifeat_feat': 0.239}]
[I 221224 15:23:33 utils:134] Epoch: [3], Info: [{'num_test': 100, 'CV': '0.07394', 'CV_turn': '0.30866', 'ctr': '0.97453', 'len_tra': 7.97, 'R_tra': 7.76704228636024, 'ifeat_feat': 0.13676286072772897, 'NX_0_CV': '0.09739', 'NX_0_CV_turn': '0.32368', 'NX_0_ctr': '0.92927', 'NX_0_len_tra': 10.01, 'NX_0_R_tra': 9.302011340246285, 'NX_0_ifeat_feat': 0.1848151848151848, 'NX_10_CV': '0.09498', 'NX_10_CV_turn': '0.31600', 'NX_10_ctr': '0.89171', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.917092805936939, 'NX_10_ifeat_feat': 0.203}]
[I 221224 15:24:24 utils:134] Epoch: [4], Info: [{'num_test': 100, 'CV': '0.06222', 'CV_turn': '0.23684', 'ctr': '0.87483', 'len_tra': 8.74, 'R_tra': 7.646047676307514, 'ifeat_feat': 0.15560640732265446, 'NX_0_CV': '0.08416', 'NX_0_CV_turn': '0.24713', 'NX_0_ctr': '0.86795', 'NX_0_len_tra': 11.33, 'NX_0_R_tra': 9.833913831193158, 'NX_0_ifeat_feat': 0.1676963812886143, 'NX_10_CV': '0.07124', 'NX_10_CV_turn': '0.23700', 'NX_10_ctr': '0.86257', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.625683140024037, 'NX_10_ifeat_feat': 0.154}]
[I 221224 15:25:16 utils:134] Epoch: [5], Info: [{'num_test': 100, 'CV': '0.06282', 'CV_turn': '0.26125', 'ctr': '0.76030', 'len_tra': 8.0, 'R_tra': 6.082437658079264, 'ifeat_feat': 0.2325, 'NX_0_CV': '0.07845', 'NX_0_CV_turn': '0.25488', 'NX_0_ctr': '0.82485', 'NX_0_len_tra': 10.24, 'NX_0_R_tra': 8.446437279798893, 'NX_0_ifeat_feat': 0.236328125, 'NX_10_CV': '0.07214', 'NX_10_CV_turn': '0.24000', 'NX_10_ctr': '0.83968', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.39679817046764, 'NX_10_ifeat_feat': 0.225}]
[I 221224 15:26:12 utils:134] Epoch: [6], Info: [{'num_test': 100, 'CV': '0.05981', 'CV_turn': '0.20643', 'ctr': '0.89699', 'len_tra': 9.64, 'R_tra': 8.646953467059985, 'ifeat_feat': 0.16804979253112035, 'NX_0_CV': '0.07003', 'NX_0_CV_turn': '0.20730', 'NX_0_ctr': '0.92285', 'NX_0_len_tra': 11.24, 'NX_0_R_tra': 10.372828615542012, 'NX_0_ifeat_feat': 0.18238434163701067, 'NX_10_CV': '0.05681', 'NX_10_CV_turn': '0.18900', 'NX_10_ctr': '0.94866', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 9.486595289638384, 'NX_10_ifeat_feat': 0.161}]
[I 221224 15:27:03 utils:134] Epoch: [7], Info: [{'num_test': 100, 'CV': '0.05320', 'CV_turn': '0.17879', 'ctr': '0.94122', 'len_tra': 9.9, 'R_tra': 9.318030036117506, 'ifeat_feat': 0.18787878787878787, 'NX_0_CV': '0.05921', 'NX_0_CV_turn': '0.16513', 'NX_0_ctr': '0.92808', 'NX_0_len_tra': 11.93, 'NX_0_R_tra': 11.072000316056153, 'NX_0_ifeat_feat': 0.2112321877619447, 'NX_10_CV': '0.05651', 'NX_10_CV_turn': '0.18800', 'NX_10_ctr': '0.97526', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 9.752560891634028, 'NX_10_ifeat_feat': 0.171}]
[I 221224 15:27:58 utils:134] Epoch: [8], Info: [{'num_test': 100, 'CV': '0.05801', 'CV_turn': '0.20910', 'ctr': '0.91276', 'len_tra': 9.23, 'R_tra': 8.424738834112873, 'ifeat_feat': 0.1570964247020585, 'NX_0_CV': '0.07454', 'NX_0_CV_turn': '0.23352', 'NX_0_ctr': '0.87033', 'NX_0_len_tra': 10.62, 'NX_0_R_tra': 9.24285491487699, 'NX_0_ifeat_feat': 0.18267419962335216, 'NX_10_CV': '0.06492', 'NX_10_CV_turn': '0.21600', 'NX_10_ctr': '0.82861', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.2861479698296, 'NX_10_ifeat_feat': 0.174}]
[I 221224 15:28:48 utils:134] Epoch: [9], Info: [{'num_test': 100, 'CV': '0.06793', 'CV_turn': '0.25682', 'ctr': '0.89803', 'len_tra': 8.8, 'R_tra': 7.902648604960233, 'ifeat_feat': 0.18295454545454545, 'NX_0_CV': '0.07845', 'NX_0_CV_turn': '0.24302', 'NX_0_ctr': '0.92138', 'NX_0_len_tra': 10.74, 'NX_0_R_tra': 9.895603204109646, 'NX_0_ifeat_feat': 0.19553072625698323, 'NX_10_CV': '0.07875', 'NX_10_CV_turn': '0.26200', 'NX_10_ctr': '0.88843', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.884275989936961, 'NX_10_ifeat_feat': 0.207}]
[I 221224 15:29:45 utils:134] Epoch: [10], Info: [{'num_test': 100, 'CV': '0.06282', 'CV_turn': '0.26968', 'ctr': '0.92607', 'len_tra': 7.75, 'R_tra': 7.177057856394048, 'ifeat_feat': 0.23225806451612904, 'NX_0_CV': '0.07063', 'NX_0_CV_turn': '0.22191', 'NX_0_ctr': '0.89476', 'NX_0_len_tra': 10.59, 'NX_0_R_tra': 9.475540689796928, 'NX_0_ifeat_feat': 0.2049102927289896, 'NX_10_CV': '0.06643', 'NX_10_CV_turn': '0.22100', 'NX_10_ctr': '0.88728', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.872800449140247, 'NX_10_ifeat_feat': 0.194}]
[I 221224 15:30:39 utils:134] Epoch: [11], Info: [{'num_test': 100, 'CV': '0.05681', 'CV_turn': '0.21551', 'ctr': '0.89040', 'len_tra': 8.77, 'R_tra': 7.808797016517972, 'ifeat_feat': 0.19156214367160776, 'NX_0_CV': '0.07184', 'NX_0_CV_turn': '0.19834', 'NX_0_ctr': '0.92032', 'NX_0_len_tra': 12.05, 'NX_0_R_tra': 11.089810601331125, 'NX_0_ifeat_feat': 0.208298755186722, 'NX_10_CV': '0.06102', 'NX_10_CV_turn': '0.20300', 'NX_10_ctr': '0.89382', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.938200417703161, 'NX_10_ifeat_feat': 0.204}]
[I 221224 15:31:33 utils:134] Epoch: [12], Info: [{'num_test': 100, 'CV': '0.05500', 'CV_turn': '0.20678', 'ctr': '0.90907', 'len_tra': 8.85, 'R_tra': 8.045296488115063, 'ifeat_feat': 0.18418079096045198, 'NX_0_CV': '0.06703', 'NX_0_CV_turn': '0.16907', 'NX_0_ctr': '0.86558', 'NX_0_len_tra': 13.19, 'NX_0_R_tra': 11.41704012158442, 'NX_0_ifeat_feat': 0.17513267626990145, 'NX_10_CV': '0.05891', 'NX_10_CV_turn': '0.19600', 'NX_10_ctr': '0.86888', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.688795441525194, 'NX_10_ifeat_feat': 0.211}]
[I 221224 15:32:30 utils:134] Epoch: [13], Info: [{'num_test': 100, 'CV': '0.05320', 'CV_turn': '0.19689', 'ctr': '0.88624', 'len_tra': 8.99, 'R_tra': 7.967332745189331, 'ifeat_feat': 0.13125695216907676, 'NX_0_CV': '0.06883', 'NX_0_CV_turn': '0.19325', 'NX_0_ctr': '0.88431', 'NX_0_len_tra': 11.85, 'NX_0_R_tra': 10.479110776232519, 'NX_0_ifeat_feat': 0.15443037974683543, 'NX_10_CV': '0.06282', 'NX_10_CV_turn': '0.20900', 'NX_10_ctr': '0.91071', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 9.107121891629044, 'NX_10_ifeat_feat': 0.15}]
[I 221224 15:33:22 utils:134] Epoch: [14], Info: [{'num_test': 100, 'CV': '0.05951', 'CV_turn': '0.20561', 'ctr': '0.88039', 'len_tra': 9.63, 'R_tra': 8.478140407772116, 'ifeat_feat': 0.16510903426791276, 'NX_0_CV': '0.07454', 'NX_0_CV_turn': '0.19936', 'NX_0_ctr': '0.87771', 'NX_0_len_tra': 12.44, 'NX_0_R_tra': 10.918730767176829, 'NX_0_ifeat_feat': 0.17041800643086816, 'NX_10_CV': '0.06673', 'NX_10_CV_turn': '0.22200', 'NX_10_ctr': '0.90699', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 9.069877768752043, 'NX_10_ifeat_feat': 0.164}]
