[I 221224 14:18:30 CIRS-RL-kuaishou:142] {
      "env": "KuaishouEnv-v0",
      "user_model_name": "DeepFM",
      "model_name": "CIRS",
      "seed": 2023,
      "cuda": 1,
      "is_ab": false,
      "cpu": false,
      "is_save": false,
      "version": "v1",
      "tau": 0.0,
      "gamma_exposure": 10,
      "r_decay": 1,
      "leave_threshold": 0,
      "num_leave_compute": 4,
      "max_turn": 30,
      "dim_state": 20,
      "dim_model": 32,
      "nhead": 4,
      "force_length": 10,
      "top_rate": 0.6,
      "buffer_size": 11000,
      "lr": 0.001,
      "gamma": 0.95,
      "epoch": 1000,
      "step_per_epoch": 15000,
      "repeat_per_collect": 2,
      "batch_size": 1024,
      "hidden_sizes": [
        64,
        64
      ],
      "episode_per_collect": 100,
      "training_num": 100,
      "test_num": 100,
      "render": 0,
      "vf_coef": 0.25,
      "ent_coef": 0.0,
      "eps_clip": 0.2,
      "max_grad_norm": 0.5,
      "gae_lambda": 0.95,
      "rew_norm": 1,
      "dual_clip": null,
      "value_clip": 1,
      "norm_adv": 1,
      "recompute_adv": 0,
      "resume": false,
      "save_interval": 1000,
      "read_message": "Pair1",
      "message": "CIRS w_o CI-leave4"
    }
[I 221224 14:20:08 utils:134] Epoch: [1], Info: [{'num_test': 100, 'CV': '0.13646', 'CV_turn': '0.92089', 'ctr': '0.79587', 'len_tra': 4.93, 'R_tra': 3.923632167349016, 'ifeat_feat': 0.5740365111561866, 'NX_0_CV': '0.13676', 'NX_0_CV_turn': '0.90278', 'NX_0_ctr': '0.85117', 'NX_0_len_tra': 5.04, 'NX_0_R_tra': 4.2898729106897475, 'NX_0_ifeat_feat': 0.5853174603174603, 'NX_10_CV': '0.25969', 'NX_10_CV_turn': '0.86400', 'NX_10_ctr': '0.90238', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 9.02384382149057, 'NX_10_ifeat_feat': 0.595}]
[I 221224 14:20:37 utils:134] Epoch: [2], Info: [{'num_test': 100, 'CV': '0.13225', 'CV_turn': '0.63584', 'ctr': '0.91821', 'len_tra': 6.92, 'R_tra': 6.354016332062472, 'ifeat_feat': 0.27890173410404623, 'NX_0_CV': '0.12233', 'NX_0_CV_turn': '0.61019', 'NX_0_ctr': '0.83296', 'NX_0_len_tra': 6.67, 'NX_0_R_tra': 5.555862551103539, 'NX_0_ifeat_feat': 0.2773613193403298, 'NX_10_CV': '0.17674', 'NX_10_CV_turn': '0.58800', 'NX_10_ctr': '0.87039', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.703945660333046, 'NX_10_ifeat_feat': 0.3}]
[I 221224 14:21:11 utils:134] Epoch: [3], Info: [{'num_test': 100, 'CV': '0.08326', 'CV_turn': '0.31124', 'ctr': '0.81477', 'len_tra': 8.9, 'R_tra': 7.251472425329863, 'ifeat_feat': 0.15393258426966291, 'NX_0_CV': '0.11121', 'NX_0_CV_turn': '0.34939', 'NX_0_ctr': '0.77540', 'NX_0_len_tra': 10.59, 'NX_0_R_tra': 8.211487301421169, 'NX_0_ifeat_feat': 0.18035882908404155, 'NX_10_CV': '0.09769', 'NX_10_CV_turn': '0.32500', 'NX_10_ctr': '0.77997', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 7.799720759765481, 'NX_10_ifeat_feat': 0.175}]
[I 221224 14:21:41 utils:134] Epoch: [4], Info: [{'num_test': 100, 'CV': '0.09769', 'CV_turn': '0.40173', 'ctr': '0.84687', 'len_tra': 8.09, 'R_tra': 6.851167640193552, 'ifeat_feat': 0.21878862793572312, 'NX_0_CV': '0.11632', 'NX_0_CV_turn': '0.37319', 'NX_0_ctr': '0.84115', 'NX_0_len_tra': 10.37, 'NX_0_R_tra': 8.722697916335283, 'NX_0_ifeat_feat': 0.22179363548698167, 'NX_10_CV': '0.11061', 'NX_10_CV_turn': '0.36800', 'NX_10_ctr': '0.84616', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.46156805003584, 'NX_10_ifeat_feat': 0.233}]
[I 221224 14:22:09 utils:134] Epoch: [5], Info: [{'num_test': 100, 'CV': '0.08927', 'CV_turn': '0.32495', 'ctr': '0.75480', 'len_tra': 9.14, 'R_tra': 6.898895566661808, 'ifeat_feat': 0.18490153172866522, 'NX_0_CV': '0.11061', 'NX_0_CV_turn': '0.32224', 'NX_0_ctr': '0.76321', 'NX_0_len_tra': 11.42, 'NX_0_R_tra': 8.715816557695227, 'NX_0_ifeat_feat': 0.20665499124343256, 'NX_10_CV': '0.09228', 'NX_10_CV_turn': '0.30700', 'NX_10_ctr': '0.78682', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 7.868195193765005, 'NX_10_ifeat_feat': 0.207}]
[I 221224 14:22:40 utils:134] Epoch: [6], Info: [{'num_test': 100, 'CV': '0.09288', 'CV_turn': '0.36698', 'ctr': '0.78458', 'len_tra': 8.42, 'R_tra': 6.606205657286295, 'ifeat_feat': 0.23990498812351543, 'NX_0_CV': '0.11572', 'NX_0_CV_turn': '0.37782', 'NX_0_ctr': '0.80310', 'NX_0_len_tra': 10.19, 'NX_0_R_tra': 8.18355286783685, 'NX_0_ifeat_feat': 0.24730127576054955, 'NX_10_CV': '0.11362', 'NX_10_CV_turn': '0.37800', 'NX_10_ctr': '0.82045', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.20449006249418, 'NX_10_ifeat_feat': 0.243}]
[I 221224 14:23:09 utils:134] Epoch: [7], Info: [{'num_test': 100, 'CV': '0.08656', 'CV_turn': '0.30573', 'ctr': '0.87606', 'len_tra': 9.42, 'R_tra': 8.252467205404605, 'ifeat_feat': 0.24522292993630573, 'NX_0_CV': '0.09889', 'NX_0_CV_turn': '0.32255', 'NX_0_ctr': '0.86088', 'NX_0_len_tra': 10.2, 'NX_0_R_tra': 8.781000731691456, 'NX_0_ifeat_feat': 0.24803921568627452, 'NX_10_CV': '0.09708', 'NX_10_CV_turn': '0.32300', 'NX_10_ctr': '0.83539', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.353944493646397, 'NX_10_ifeat_feat': 0.242}]
[I 221224 14:23:42 utils:134] Epoch: [8], Info: [{'num_test': 100, 'CV': '0.08206', 'CV_turn': '0.26428', 'ctr': '0.78914', 'len_tra': 10.33, 'R_tra': 8.151796305521756, 'ifeat_feat': 0.2042594385285576, 'NX_0_CV': '0.09528', 'NX_0_CV_turn': '0.25079', 'NX_0_ctr': '0.82368', 'NX_0_len_tra': 12.64, 'NX_0_R_tra': 10.411362273396001, 'NX_0_ifeat_feat': 0.19462025316455697, 'NX_10_CV': '0.08626', 'NX_10_CV_turn': '0.28700', 'NX_10_ctr': '0.80223', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.022312409893043, 'NX_10_ifeat_feat': 0.214}]
[I 221224 14:24:11 utils:134] Epoch: [9], Info: [{'num_test': 100, 'CV': '0.05741', 'CV_turn': '0.21558', 'ctr': '0.79933', 'len_tra': 8.86, 'R_tra': 7.0820704067199465, 'ifeat_feat': 0.15688487584650113, 'NX_0_CV': '0.07604', 'NX_0_CV_turn': '0.20961', 'NX_0_ctr': '0.81738', 'NX_0_len_tra': 12.07, 'NX_0_R_tra': 9.865806604847212, 'NX_0_ifeat_feat': 0.16735708367854185, 'NX_10_CV': '0.06342', 'NX_10_CV_turn': '0.21100', 'NX_10_ctr': '0.82985', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.298522228490668, 'NX_10_ifeat_feat': 0.177}]
[I 221224 14:24:42 utils:134] Epoch: [10], Info: [{'num_test': 100, 'CV': '0.07695', 'CV_turn': '0.25885', 'ctr': '0.82987', 'len_tra': 9.89, 'R_tra': 8.207398629961162, 'ifeat_feat': 0.18402426693629928, 'NX_0_CV': '0.09197', 'NX_0_CV_turn': '0.28177', 'NX_0_ctr': '0.85364', 'NX_0_len_tra': 10.86, 'NX_0_R_tra': 9.270529445987984, 'NX_0_ifeat_feat': 0.22283609576427257, 'NX_10_CV': '0.07845', 'NX_10_CV_turn': '0.26100', 'NX_10_ctr': '0.82961', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.296099513380568, 'NX_10_ifeat_feat': 0.182}]
[I 221224 14:25:12 utils:134] Epoch: [11], Info: [{'num_test': 100, 'CV': '0.06072', 'CV_turn': '0.20322', 'ctr': '0.76398', 'len_tra': 9.94, 'R_tra': 7.593959495042473, 'ifeat_feat': 0.19517102615694165, 'NX_0_CV': '0.07965', 'NX_0_CV_turn': '0.19955', 'NX_0_ctr': '0.79708', 'NX_0_len_tra': 13.28, 'NX_0_R_tra': 10.58518245805931, 'NX_0_ifeat_feat': 0.21460843373493976, 'NX_10_CV': '0.06643', 'NX_10_CV_turn': '0.22100', 'NX_10_ctr': '0.81171', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.117088167370634, 'NX_10_ifeat_feat': 0.195}]
