[I 221224 08:35:42 CIRS-RL-kuaishou:142] {
      "env": "KuaishouEnv-v0",
      "user_model_name": "DeepFM",
      "model_name": "CIRS",
      "seed": 0,
      "cuda": 6,
      "is_ab": true,
      "cpu": false,
      "is_save": false,
      "version": "v1",
      "tau": 10.0,
      "gamma_exposure": 10.0,
      "r_decay": 1,
      "leave_threshold": 0,
      "num_leave_compute": 1,
      "max_turn": 30,
      "dim_state": 20,
      "dim_model": 32,
      "nhead": 4,
      "force_length": 10,
      "top_rate": 0.8,
      "buffer_size": 11000,
      "lr": 0.001,
      "gamma": 0.95,
      "epoch": 1000,
      "step_per_epoch": 15000,
      "repeat_per_collect": 2,
      "batch_size": 1024,
      "hidden_sizes": [
        64,
        64
      ],
      "episode_per_collect": 100,
      "training_num": 100,
      "test_num": 100,
      "render": 0,
      "vf_coef": 0.25,
      "ent_coef": 0.0,
      "eps_clip": 0.2,
      "max_grad_norm": 0.5,
      "gae_lambda": 0.95,
      "rew_norm": 1,
      "dual_clip": null,
      "value_clip": 1,
      "norm_adv": 1,
      "recompute_adv": 0,
      "resume": false,
      "save_interval": 1000,
      "read_message": "Pair11",
      "message": "K_CIRS_len30_r08"
    }
[I 221224 08:46:10 utils:134] Epoch: [12], Info: [{'num_test': 100, 'CV': '0.14097', 'CV_turn': '0.23880', 'ctr': '0.84622', 'len_tra': 19.64, 'R_tra': 16.619721756918814, 'ifeat_feat': 0.45824847250509165, 'NX_0_CV': '0.15329', 'NX_0_CV_turn': '0.25285', 'NX_0_ctr': '0.85755', 'NX_0_len_tra': 20.17, 'NX_0_R_tra': 17.29687184584178, 'NX_0_ifeat_feat': 0.44719881011403073, 'NX_10_CV': '0.07845', 'NX_10_CV_turn': '0.26100', 'NX_10_ctr': '0.87353', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.735345402454538, 'NX_10_ifeat_feat': 0.426}]
[I 221224 08:46:57 utils:134] Epoch: [13], Info: [{'num_test': 100, 'CV': '0.11873', 'CV_turn': '0.23167', 'ctr': '0.80366', 'len_tra': 17.05, 'R_tra': 13.7024395510463, 'ifeat_feat': 0.37008797653958947, 'NX_0_CV': '0.15299', 'NX_0_CV_turn': '0.25025', 'NX_0_ctr': '0.81600', 'NX_0_len_tra': 20.34, 'NX_0_R_tra': 16.597534551731187, 'NX_0_ifeat_feat': 0.42428711897738447, 'NX_10_CV': '0.07965', 'NX_10_CV_turn': '0.26500', 'NX_10_ctr': '0.82594', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.25940764150397, 'NX_10_ifeat_feat': 0.372}]
[I 221224 08:47:55 utils:134] Epoch: [14], Info: [{'num_test': 100, 'CV': '0.11031', 'CV_turn': '0.20491', 'ctr': '0.78883', 'len_tra': 17.91, 'R_tra': 14.127885813457047, 'ifeat_feat': 0.37465103294249025, 'NX_0_CV': '0.11452', 'NX_0_CV_turn': '0.20255', 'NX_0_ctr': '0.81731', 'NX_0_len_tra': 18.81, 'NX_0_R_tra': 15.373568346436107, 'NX_0_ifeat_feat': 0.4130781499202552, 'NX_10_CV': '0.07093', 'NX_10_CV_turn': '0.23600', 'NX_10_ctr': '0.79229', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 7.9228930060831635, 'NX_10_ifeat_feat': 0.395}]
[I 221224 08:48:35 utils:134] Epoch: [15], Info: [{'num_test': 100, 'CV': '0.13405', 'CV_turn': '0.25515', 'ctr': '0.83348', 'len_tra': 17.48, 'R_tra': 14.569202268718195, 'ifeat_feat': 0.41304347826086957, 'NX_0_CV': '0.15479', 'NX_0_CV_turn': '0.26907', 'NX_0_ctr': '0.79475', 'NX_0_len_tra': 19.14, 'NX_0_R_tra': 15.211523953588886, 'NX_0_ifeat_feat': 0.42371995820271685, 'NX_10_CV': '0.08927', 'NX_10_CV_turn': '0.29700', 'NX_10_ctr': '0.89466', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.946564843302296, 'NX_10_ifeat_feat': 0.393}]
[I 221224 08:49:15 utils:134] Epoch: [16], Info: [{'num_test': 100, 'CV': '0.14187', 'CV_turn': '0.25963', 'ctr': '0.88222', 'len_tra': 18.18, 'R_tra': 16.038769083560545, 'ifeat_feat': 0.3872387238723872, 'NX_0_CV': '0.14758', 'NX_0_CV_turn': '0.27172', 'NX_0_ctr': '0.85328', 'NX_0_len_tra': 18.07, 'NX_0_R_tra': 15.418735832177612, 'NX_0_ifeat_feat': 0.41671278361925845, 'NX_10_CV': '0.09288', 'NX_10_CV_turn': '0.30900', 'NX_10_ctr': '0.79035', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 7.9035228745183295, 'NX_10_ifeat_feat': 0.378}]
[I 221224 08:50:02 utils:134] Epoch: [17], Info: [{'num_test': 100, 'CV': '0.16652', 'CV_turn': '0.30812', 'ctr': '0.82808', 'len_tra': 17.98, 'R_tra': 14.888924137633033, 'ifeat_feat': 0.42769744160177975, 'NX_0_CV': '0.18605', 'NX_0_CV_turn': '0.31517', 'NX_0_ctr': '0.82827', 'NX_0_len_tra': 19.64, 'NX_0_R_tra': 16.26715339802968, 'NX_0_ifeat_feat': 0.4475560081466395, 'NX_10_CV': '0.10280', 'NX_10_CV_turn': '0.34200', 'NX_10_ctr': '0.78956', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 7.8956238834182155, 'NX_10_ifeat_feat': 0.403}]
[I 221224 08:50:45 utils:134] Epoch: [18], Info: [{'num_test': 100, 'CV': '0.13586', 'CV_turn': '0.23323', 'ctr': '0.81135', 'len_tra': 19.38, 'R_tra': 15.72402966812841, 'ifeat_feat': 0.368937048503612, 'NX_0_CV': '0.15930', 'NX_0_CV_turn': '0.26019', 'NX_0_ctr': '0.80730', 'NX_0_len_tra': 20.37, 'NX_0_R_tra': 16.44462272641149, 'NX_0_ifeat_feat': 0.39666175748649973, 'NX_10_CV': '0.09107', 'NX_10_CV_turn': '0.30300', 'NX_10_ctr': '0.86267', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.626745751090045, 'NX_10_ifeat_feat': 0.382}]
[I 221224 08:51:26 utils:134] Epoch: [19], Info: [{'num_test': 100, 'CV': '0.15209', 'CV_turn': '0.27001', 'ctr': '0.81642', 'len_tra': 18.74, 'R_tra': 15.299762602836559, 'ifeat_feat': 0.37886872998932764, 'NX_0_CV': '0.15690', 'NX_0_CV_turn': '0.28618', 'NX_0_ctr': '0.82204', 'NX_0_len_tra': 18.24, 'NX_0_R_tra': 14.99405982487293, 'NX_0_ifeat_feat': 0.41885964912280704, 'NX_10_CV': '0.10370', 'NX_10_CV_turn': '0.34500', 'NX_10_ctr': '0.77199', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 7.719870834999155, 'NX_10_ifeat_feat': 0.377}]
[I 221224 08:52:11 utils:134] Epoch: [20], Info: [{'num_test': 100, 'CV': '0.08957', 'CV_turn': '0.16884', 'ctr': '0.83698', 'len_tra': 17.65, 'R_tra': 14.772700877243443, 'ifeat_feat': 0.35580736543909347, 'NX_0_CV': '0.11181', 'NX_0_CV_turn': '0.17816', 'NX_0_ctr': '0.83698', 'NX_0_len_tra': 20.88, 'NX_0_R_tra': 17.476108324047107, 'NX_0_ifeat_feat': 0.38122605363984674, 'NX_10_CV': '0.07274', 'NX_10_CV_turn': '0.24200', 'NX_10_ctr': '0.84953', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.495250334184414, 'NX_10_ifeat_feat': 0.368}]
[I 221224 08:52:53 utils:134] Epoch: [21], Info: [{'num_test': 100, 'CV': '0.10911', 'CV_turn': '0.20336', 'ctr': '0.85847', 'len_tra': 17.85, 'R_tra': 15.32374178268629, 'ifeat_feat': 0.41456582633053224, 'NX_0_CV': '0.13285', 'NX_0_CV_turn': '0.20958', 'NX_0_ctr': '0.82332', 'NX_0_len_tra': 21.09, 'NX_0_R_tra': 17.36389332436627, 'NX_0_ifeat_feat': 0.41014698909435754, 'NX_10_CV': '0.07244', 'NX_10_CV_turn': '0.24100', 'NX_10_ctr': '0.83108', 'NX_10_len_tra': 10.0, 'NX_10_R_tra': 8.310832043351056, 'NX_10_ifeat_feat': 0.399}]
